BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,2,12,909173605
2015,7,2,15,857491092
2015,7,2,18,707641856
2015,7,2,21,625313143
2015,7,3,24,659851919
2015,7,3,3,767311606
2015,7,3,6,865662518
2015,7,3,9,903611398
2015,7,3,12,872845885
2015,7,3,15,805100160
2015,7,3,18,673663850
2015,7,3,21,593150180
2015,7,4,24,596785487
2015,7,4,3,688544375
2015,7,4,6,793355321
2015,7,4,9,848479258
2015,7,4,12,837662821
2015,7,4,15,772075164
2015,7,4,18,654595451
2015,7,4,21,575727550
2015,7,5,24,563114711
2015,7,5,3,649104832
2015,7,5,6,767519657
2015,7,5,9,818309563
2015,7,5,12,805037521
2015,7,5,15,729366454
2015,7,5,18,640081812
2015,7,5,21,565794771
2015,7,6,24,553968650
2015,7,6,3,649806539
2015,7,6,6,792962335
2015,7,6,9,876912209
2015,7,6,12,886921050
2015,7,6,15,826079799
2015,7,6,18,692577888
2015,7,6,21,616719649
2015,7,7,24,660079359
2015,7,7,3,802782512
2015,7,7,6,949876371
2015,7,7,9,1027331909
2015,7,7,12,1011808587
2015,7,7,15,920682056
2015,7,7,18,755463859
2015,7,7,21,663424587
2015,7,8,24,703257116
2015,7,8,3,835377238
2015,7,8,6,961398991
2015,7,8,9,1006022669
2015,7,8,12,975676241
2015,7,8,15,894120077
2015,7,8,18,740461039
2015,7,8,21,655552935
2015,7,9,24,694931330
2015,7,9,3,814745097
2015,7,9,6,933056270
2015,7,9,9,986303270
2015,7,9,12,959138762
2015,7,9,15,888068688
2015,7,9,18,739012882
2015,7,9,21,654362045
2015,7,10,24,696198282
2015,7,10,3,820371434
2015,7,10,6,943801120
2015,7,10,9,1007047266
2015,7,10,12,993952703
2015,7,10,15,912230246
2015,7,10,18,755862811
2015,7,10,21,662151670
2015,7,11,24,692313909
2015,7,11,3,823029124
2015,7,11,6,954861403
2015,7,11,9,1021701843
2015,7,11,12,1003144997
2015,7,11,15,902374275
2015,7,11,18,747506451
2015,7,11,21,645929624
2015,7,12,24,634283217
2015,7,12,3,754547389
2015,7,12,6,909007313
2015,7,12,9,978568827
2015,7,12,12,970913429
2015,7,12,15,887836774
2015,7,12,18,744660099
2015,7,12,21,642900574
2015,7,13,24,621667395
2015,7,13,3,734141197
2015,7,13,6,898117796
2015,7,13,9,985914012
2015,7,13,12,995956409
2015,7,13,15,927371768
2015,7,13,18,770737370
2015,7,13,21,678734638
2015,7,14,24,716852793
2015,7,14,3,866537974
2015,7,14,6,1022903918
2015,7,14,9,1096202155
2015,7,14,12,1086022549
2015,7,14,15,992575387
2015,7,14,18,809955440
2015,7,14,21,708126564
2015,7,15,24,746449043
2015,7,15,3,882267856
2015,7,15,6,1011324625
2015,7,15,9,1072894428
2015,7,15,12,1054857338
2015,7,15,15,957861371
2015,7,15,18,788278568
2015,7,15,21,690375078
2015,7,16,24,724646147
2015,7,16,3,844572515
2015,7,16,6,959365456
2015,7,16,9,1021052335
2015,7,16,12,1003923512
2015,7,16,15,912958799
2015,7,16,18,748576536
2015,7,16,21,653922080
2015,7,17,24,688460110
2015,7,17,3,807056888
2015,7,17,6,927455287
2015,7,17,9,997703594
2015,7,17,12,997175636
2015,7,17,15,918335326
2015,7,17,18,757926920
2015,7,17,21,664698995
2015,7,18,24,702522598
2015,7,18,3,840827589
2015,7,18,6,992762559
2015,7,18,9,1069740846
2015,7,18,12,1049978196
2015,7,18,15,957921773
2015,7,18,18,796315766
2015,7,18,21,689595818
2015,7,19,24,678387140
2015,7,19,3,810769749
2015,7,19,6,969321351
2015,7,19,9,1039302696
2015,7,19,12,1037701670
2015,7,19,15,950636989
2015,7,19,18,798553624
2015,7,19,21,692524943
2015,7,20,24,669542343
2015,7,20,3,804121797
2015,7,20,6,983703746
2015,7,20,9,1060824462
2015,7,20,12,1059193607
2015,7,20,15,976720973
2015,7,20,18,814155245
2015,7,20,21,719002658
2015,7,21,24,760692736
2015,7,21,3,916925199
2015,7,21,6,1081038263
2015,7,21,9,1153827184
2015,7,21,12,1130858752
2015,7,21,15,1028953815
2015,7,21,18,840559881
2015,7,21,21,731644580
2015,7,22,24,765507002
2015,7,22,3,896883656
2015,7,22,6,1030463120
2015,7,22,9,1088941980
2015,7,22,12,1062751361
2015,7,22,15,958759198
2015,7,22,18,780784242
2015,7,22,21,680744310
2015,7,23,24,713530682
2015,7,23,3,840337661
2015,7,23,6,971125209
2015,7,23,9,1044994656
2015,7,23,12,1028108187
2015,7,23,15,932658810
2015,7,23,18,763942515
2015,7,23,21,670172463
2015,7,24,24,711295061
2015,7,24,3,841281723
2015,7,24,6,973498039
2015,7,24,9,1044720982
2015,7,24,12,1030509354
2015,7,24,15,939896613
2015,7,24,18,773411465
2015,7,24,21,677873349
2015,7,25,24,711692521
2015,7,25,3,843151203
2015,7,25,6,978390604
2015,7,25,9,1054349513
2015,7,25,12,1039487631
2015,7,25,15,937743766
2015,7,25,18,772412968
2015,7,25,21,665006971
2015,7,26,24,653475403
2015,7,26,3,771572559
2015,7,26,6,928971303
2015,7,26,9,1009179980
2015,7,26,12,1003645364
2015,7,26,15,914245884
2015,7,26,18,760980578
2015,7,26,21,657358284
2015,7,27,24,635788048
2015,7,27,3,751377401
2015,7,27,6,921193609
2015,7,27,9,1009848131
2015,7,27,12,1012927889
2015,7,27,15,939109896
2015,7,27,18,783688013
2015,7,27,21,692059624
2015,7,28,24,732851874
2015,7,28,3,881152283
2015,7,28,6,1046624765
2015,7,28,9,1126425542
2015,7,28,12,1114500242
2015,7,28,15,1017222398
2015,7,28,18,834011853
2015,7,28,21,723621549
2015,7,29,24,759159569
2015,7,29,3,915828268
2015,7,29,6,1089674262
2015,7,29,9,1167327411
2015,7,29,12,1142392558
2015,7,29,15,1040894029
2015,7,29,18,852754380
2015,7,29,21,739923386
2015,7,30,24,774274991
2015,7,30,3,918742480
2015,7,30,6,1084484907
2015,7,30,9,1159052333
2015,7,30,12,1133591012
2015,7,30,15,1031505615
2015,7,30,18,842659784
2015,7,30,21,732599826
2015,7,31,24,767638224
2015,7,31,3,907175118
2015,7,31,6,1061724527
2015,7,31,9,1126820019
2015,7,31,12,1095173829
2015,7,31,15,991157058
2015,7,31,18,808719808
2015,7,31,21,695302691
2015,8,1,24,722790835
2015,8,1,3,861045118
2015,8,1,6,1003182282
2015,8,1,9,1078159099
2015,8,1,12,1054720128
2015,8,1,15,932039875
2015,8,1,18,760020111
2015,8,1,21,650738669
2015,8,2,24,638753713
2015,8,2,3,760033534
2015,8,2,6,911081116
2015,8,2,9,982971464
2015,8,2,12,984388302
2015,8,2,15,889473595
2015,8,2,18,731664714
2015,8,2,21,631196002
2015,8,3,24,611423658
2015,8,3,3,728388835
2015,8,3,6,898895566
2015,8,3,9,995806523
