BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,2,24,179225353
2015,7,2,3,163068034
2015,7,2,6,133645235
2015,7,2,9,124550032
2015,7,2,12,138524824
2015,7,2,15,160832562
2015,7,2,18,177265196
2015,7,2,21,180310204
2015,7,3,24,169988466
2015,7,3,3,153942405
2015,7,3,6,127138818
2015,7,3,9,117272855
2015,7,3,12,123214326
2015,7,3,15,145862553
2015,7,3,18,163419708
2015,7,3,21,171003966
2015,7,4,24,163210612
2015,7,4,3,148114430
2015,7,4,6,123661152
2015,7,4,9,113322114
2015,7,4,12,115149238
2015,7,4,15,139134214
2015,7,4,18,158101794
2015,7,4,21,164806270
2015,7,5,24,156078997
2015,7,5,3,140985648
2015,7,5,6,121293691
2015,7,5,9,111558077
2015,7,5,12,113689150
2015,7,5,15,140289011
2015,7,5,18,165744664
2015,7,5,21,178085470
2015,7,6,24,173907588
2015,7,6,3,158072115
2015,7,6,6,130917599
2015,7,6,9,123299038
2015,7,6,12,140371337
2015,7,6,15,170889724
2015,7,6,18,197321503
2015,7,6,21,206758538
2015,7,7,24,196806520
2015,7,7,3,174767683
2015,7,7,6,142128961
2015,7,7,9,132097750
2015,7,7,12,148528445
2015,7,7,15,176632838
2015,7,7,18,197207709
2015,7,7,21,200907744
2015,7,8,24,190034781
2015,7,8,3,170012179
2015,7,8,6,139969402
2015,7,8,9,130635424
2015,7,8,12,146257776
2015,7,8,15,171623646
2015,7,8,18,192027452
2015,7,8,21,197030977
2015,7,9,24,187507889
2015,7,9,3,169278556
2015,7,9,6,139731075
2015,7,9,9,130474054
2015,7,9,12,146721455
2015,7,9,15,173198722
2015,7,9,18,194443533
2015,7,9,21,202600492
2015,7,10,24,194024746
2015,7,10,3,173503715
2015,7,10,6,142542081
2015,7,10,9,131291942
2015,7,10,12,145764418
2015,7,10,15,174614665
2015,7,10,18,196880345
2015,7,10,21,205543488
2015,7,11,24,194354198
2015,7,11,3,171703585
2015,7,11,6,140385505
2015,7,11,9,126582373
2015,7,11,12,131339816
2015,7,11,15,162719790
2015,7,11,18,188031671
2015,7,11,21,197405619
2015,7,12,24,189127856
2015,7,12,3,169801891
2015,7,12,6,139974771
2015,7,12,9,125658595
2015,7,12,12,127730012
2015,7,12,15,159036012
2015,7,12,18,187243760
2015,7,12,21,199641240
2015,7,13,24,195754183
2015,7,13,3,177085332
2015,7,13,6,145274043
2015,7,13,9,134881463
2015,7,13,12,151910064
2015,7,13,15,184734764
2015,7,13,18,211499426
2015,7,13,21,220677254
2015,7,14,24,212148785
2015,7,14,3,187959934
2015,7,14,6,152119606
2015,7,14,9,140831585
2015,7,14,12,157263771
2015,7,14,15,186142206
2015,7,14,18,208075004
2015,7,14,21,215445245
2015,7,15,24,205461162
2015,7,15,3,181650085
2015,7,15,6,148392577
2015,7,15,9,137031477
2015,7,15,12,152276652
2015,7,15,15,177427610
2015,7,15,18,197243055
2015,7,15,21,205436106
2015,7,16,24,195310340
2015,7,16,3,173210504
2015,7,16,6,140652467
2015,7,16,9,130021262
2015,7,16,12,144673304
2015,7,16,15,170214414
2015,7,16,18,191354230
2015,7,16,21,201749047
2015,7,17,24,194899307
2015,7,17,3,174823313
2015,7,17,6,142547749
2015,7,17,9,132246145
2015,7,17,12,148198843
2015,7,17,15,179373748
2015,7,17,18,205517686
2015,7,17,21,215231078
2015,7,18,24,204292942
2015,7,18,3,182338966
2015,7,18,6,149909936
2015,7,18,9,135074302
2015,7,18,12,140817119
2015,7,18,15,174397963
2015,7,18,18,200191271
2015,7,18,21,209717044
2015,7,19,24,202846276
2015,7,19,3,181555231
2015,7,19,6,150524993
2015,7,19,9,135175569
2015,7,19,12,138465615
2015,7,19,15,174389313
2015,7,19,18,204225530
2015,7,19,21,213813197
2015,7,20,24,207541974
2015,7,20,3,185849443
2015,7,20,6,153953144
2015,7,20,9,143197257
2015,7,20,12,160832562
2015,7,20,15,195496467
2015,7,20,18,223405487
2015,7,20,21,231312187
2015,7,21,24,220595674
2015,7,21,3,194663068
2015,7,21,6,157894786
2015,7,21,9,145172776
2015,7,21,12,160675517
2015,7,21,15,189396160
2015,7,21,18,211762212
2015,7,21,21,218190629
2015,7,22,24,206472486
2015,7,22,3,181243825
2015,7,22,6,146723543
2015,7,22,9,135052677
2015,7,22,12,150101731
2015,7,22,15,177543791
2015,7,22,18,200767551
2015,7,22,21,210426209
2015,7,23,24,199823341
2015,7,23,3,176706961
2015,7,23,6,143966078
2015,7,23,9,133305194
2015,7,23,12,150037153
2015,7,23,15,177927082
2015,7,23,18,200982314
2015,7,23,21,210352235
2015,7,24,24,200803494
2015,7,24,3,178354073
2015,7,24,6,145648088
2015,7,24,9,134740227
2015,7,24,12,149790623
2015,7,24,15,178510521
2015,7,24,18,202356497
2015,7,24,21,212394122
2015,7,25,24,201880887
2015,7,25,3,177940953
2015,7,25,6,144917596
2015,7,25,9,130285093
2015,7,25,12,135065503
2015,7,25,15,166113638
2015,7,25,18,192775990
2015,7,25,21,203891604
2015,7,26,24,195554036
2015,7,26,3,174115192
2015,7,26,6,143109861
2015,7,26,9,128497192
2015,7,26,12,130611562
2015,7,26,15,162861175
2015,7,26,18,192176444
2015,7,26,21,204301294
2015,7,27,24,198605158
2015,7,27,3,179076511
2015,7,27,6,147949182
2015,7,27,9,138042205
2015,7,27,12,154622040
2015,7,27,15,188272534
2015,7,27,18,216777370
2015,7,27,21,226827224
2015,7,28,24,217500405
2015,7,28,3,192797018
2015,7,28,6,156549387
2015,7,28,9,143487336
2015,7,28,12,160360830
2015,7,28,15,195981921
2015,7,28,18,225481676
2015,7,28,21,234178674
2015,7,29,24,222800273
2015,7,29,3,196992201
2015,7,29,6,160209452
2015,7,29,9,146549495
2015,7,29,12,162969601
2015,7,29,15,195737628
2015,7,29,18,224380569
2015,7,29,21,232131716
2015,7,30,24,221146451
2015,7,30,3,195063362
2015,7,30,6,158340717
2015,7,30,9,145299099
2015,7,30,12,161340536
2015,7,30,15,192773603
2015,7,30,18,219058927
2015,7,30,21,225382050
2015,7,31,24,212943706
2015,7,31,3,187555315
2015,7,31,6,151402985
2015,7,31,9,137495604
2015,7,31,12,152265615
2015,7,31,15,182769387
2015,7,31,18,207229972
2015,7,31,21,217001380
2015,8,1,24,203579452
2015,8,1,3,175964538
2015,8,1,6,142261249
2015,8,1,9,127390866
2015,8,1,12,132313258
2015,8,1,15,163729622
2015,8,1,18,188378871
2015,8,1,21,198917907
2015,8,2,24,191856089
2015,8,2,3,168437401
2015,8,2,6,137470399
2015,8,2,9,123273834
2015,8,2,12,126222198
2015,8,2,15,157980990
2015,8,2,18,187922649
2015,8,2,21,202851496
2015,8,3,24,198548485
2015,8,3,3,175265665
2015,8,3,6,142431419
2015,8,3,9,132021390
2015,8,3,12,149179444
2015,8,3,15,179594029
2015,8,3,18,207090227
2015,8,3,21,218249241
2015,8,4,24,208873802
2015,8,4,3,182889743
2015,8,4,6,148020471
2015,8,4,9,136263402
2015,8,4,12,152172402
2015,8,4,15,182286170
2015,8,4,18,209593108
2015,8,4,21,218731413
2015,8,5,24,207340485
2015,8,5,3,181456053
2015,8,5,6,147017499
2015,8,5,9,135618368
2015,8,5,12,151257274
2015,8,5,15,179516924
2015,8,5,18,205058332
2015,8,5,21,212932222
2015,8,6,24,200368450
2015,8,6,3,176258346
2015,8,6,6,143588304
2015,8,6,9,133313546
2015,8,6,12,149177356
2015,8,6,15,172954429
2015,8,6,18,192747056
2015,8,6,21,199544000
2015,8,7,24,190564977
2015,8,7,3,170896286
2015,8,7,6,141231879
2015,8,7,9,131627509
2015,8,7,12,147055679
2015,8,7,15,171729536
2015,8,7,18,191469964
2015,8,7,21,200711474
2015,8,8,24,190907703
2015,8,8,3,170257814
2015,8,8,6,140069327
2015,8,8,9,127241874
2015,8,8,12,132558446
2015,8,8,15,158988436
2015,8,8,18,181228464
2015,8,8,21,190546334
2015,8,9,24,183463040
2015,8,9,3,165074425
2015,8,9,6,136950792
2015,8,9,9,124000448
2015,8,9,12,127090049
2015,8,9,15,154997278
2015,8,9,18,182493178
2015,8,9,21,195917343
2015,8,10,24,191874881
2015,8,10,3,172816027
2015,8,10,6,142470046
2015,8,10,9,133540240
2015,8,10,12,151845336
2015,8,10,15,178709624
2015,8,10,18,201195436
2015,8,10,21,208431898
2015,8,11,24,199698062
2015,8,11,3,177108449
2015,8,11,6,144719836
2015,8,11,9,135190185
2015,8,11,12,152460542
2015,8,11,15,177598078
2015,8,11,18,201024223
2015,8,11,21,209870659
2015,8,12,24,199661374
2015,8,12,3,174559781
2015,8,12,6,141022933
2015,8,12,9,130430356
2015,8,12,12,146949043
2015,8,12,15,173948751
2015,8,12,18,196796677
2015,8,12,21,207935855
2015,8,13,24,197842452
2015,8,13,3,172361147
2015,8,13,6,138578217
2015,8,13,9,128454687
2015,8,13,12,145020056
2015,8,13,15,171148931
2015,8,13,18,195266343
2015,8,13,21,206360481
2015,8,14,24,196753426
2015,8,14,3,172535344
2015,8,14,6,139483800
2015,8,14,9,128898232
2015,8,14,12,145339963
2015,8,14,15,172304175
2015,8,14,18,199356679
2015,8,14,21,212013514
2015,8,15,24,198485697
2015,8,15,3,172437209
2015,8,15,6,140194008
2015,8,15,9,126200424
2015,8,15,12,131992307
2015,8,15,15,163192715
2015,8,15,18,192061158
2015,8,15,21,203033448
2015,8,16,24,192695752
2015,8,16,3,169512110
2015,8,16,6,138551819
2015,8,16,9,124823258
2015,8,16,12,128122402
2015,8,16,15,160663138
2015,8,16,18,191863546
2015,8,16,21,205541250
2015,8,17,24,198846170
2015,8,17,3,176171099
2015,8,17,6,144313278
2015,8,17,9,135304278
2015,8,17,12,154853059
2015,8,17,15,185622301
2015,8,17,18,213044525
2015,8,17,21,218699945
2015,8,18,24,206917820
2015,8,18,3,181499303
2015,8,18,6,147701161
2015,8,18,9,138447569
2015,8,18,12,157415448
2015,8,18,15,182253210
2015,8,18,18,205319031
2015,8,18,21,212371303
2015,8,19,24,202097440
2015,8,19,3,179031321
2015,8,19,6,146094616
2015,8,19,9,137528713
2015,8,19,12,157096286
2015,8,19,15,181602807
2015,8,19,18,201711463
2015,8,19,21,204759007
2015,8,20,24,193178372
2015,8,20,3,171719991
2015,8,20,6,141520467
2015,8,20,9,133813317
2015,8,20,12,152499170
2015,8,20,15,174136221
2015,8,20,18,191384058
2015,8,20,21,197870342
2015,8,21,24,188591993
2015,8,21,3,167860525
2015,8,21,6,137638779
2015,8,21,9,129247520
2015,8,21,12,146075824
2015,8,21,15,169167446
2015,8,21,18,188842550
2015,8,21,21,197280191
2015,8,22,24,185374429
2015,8,22,3,163691890
2015,8,22,6,134222708
2015,8,22,9,122323359
2015,8,22,12,127826506
2015,8,22,15,153540620
2015,8,22,18,175357685
2015,8,22,21,184781147
2015,8,23,24,176591526
2015,8,23,3,156891963
2015,8,23,6,129870332
2015,8,23,9,119592442
2015,8,23,12,123317383
2015,8,23,15,147369471
2015,8,23,18,169844396
2015,8,23,21,182624123
2015,8,24,24,179876800
2015,8,24,3,160869102
2015,8,24,6,132806318
2015,8,24,9,125830405
2015,8,24,12,144543849
2015,8,24,15,169635151
2015,8,24,18,191402552
2015,8,24,21,200397980
2015,8,25,24,191670558
2015,8,25,3,167368360
2015,8,25,6,136342745
2015,8,25,9,128238582
2015,8,25,12,145250180
2015,8,25,15,166569860
2015,8,25,18,184610977
2015,8,25,21,193963747
2015,8,26,24,185854812
2015,8,26,3,161698623
2015,8,26,6,131066441
2015,8,26,9,123207317
2015,8,26,12,140588635
2015,8,26,15,159037205
2015,8,26,18,176236870
2015,8,26,21,184687636
2015,8,27,24,178092181
2015,8,27,3,156539245
2015,8,27,6,127513907
2015,8,27,9,120648806
2015,8,27,12,138262784
2015,8,27,15,155713154
2015,8,27,18,170994122
2015,8,27,21,180312739
2015,8,28,24,175100715
2015,8,28,3,155604431
2015,8,28,6,127013092
2015,8,28,9,120030916
2015,8,28,12,137577631
2015,8,28,15,157845719
2015,8,28,18,176504876
2015,8,28,21,185275251
2015,8,29,24,174306987
2015,8,29,3,154472154
2015,8,29,6,127197878
2015,8,29,9,117297164
2015,8,29,12,123546761
2015,8,29,15,147776178
2015,8,29,18,169030385
2015,8,29,21,176796893
2015,8,30,24,169908526
