BEGIN_DATA,,,,
year,month,day,hour,solar_capacity
2016,1,1,24,0.000622844
2016,1,1,3,0
2016,1,1,6,0
2016,1,1,9,0
2016,1,1,12,0
2016,1,1,15,0.145095426
2016,1,1,18,0.442032243666667
2016,1,1,21,0.405232862
2016,1,2,24,0.116549674333333
2016,1,2,3,0
2016,1,2,6,0
2016,1,2,9,0
2016,1,2,12,0
2016,1,2,15,0.153353293333333
2016,1,2,18,0.452096219
2016,1,2,21,0.447302606
2016,1,3,24,0.174207258333333
2016,1,3,3,0
2016,1,3,6,0
2016,1,3,9,0
2016,1,3,12,0
2016,1,3,15,0.227318302
2016,1,3,18,0.611721175
2016,1,3,21,0.667778723333333
2016,1,4,24,0.297601393
2016,1,4,3,0
2016,1,4,6,0
2016,1,4,9,0
2016,1,4,12,0
2016,1,4,15,0.261280390666667
2016,1,4,18,0.61576288
2016,1,4,21,0.621536498
2016,1,5,24,0.282950893333333
2016,1,5,3,0
2016,1,5,6,0
2016,1,5,9,0
2016,1,5,12,0
2016,1,5,15,0.334046374333333
2016,1,5,18,0.693134301333333
2016,1,5,21,0.698766062
2016,1,6,24,0.316368525666667
2016,1,6,3,0
2016,1,6,6,0
2016,1,6,9,0
2016,1,6,12,0
2016,1,6,15,0.368973529666667
2016,1,6,18,0.712369084333333
2016,1,6,21,0.705369273
2016,1,7,24,0.32592105
2016,1,7,3,0
2016,1,7,6,0
2016,1,7,9,0
2016,1,7,12,0
2016,1,7,15,0.37466247
2016,1,7,18,0.727571747
2016,1,7,21,0.715373264333333
2016,1,8,24,0.314590450666667
2016,1,8,3,0
2016,1,8,6,0
2016,1,8,9,0
2016,1,8,12,0
2016,1,8,15,0.324052319666667
2016,1,8,18,0.680487195666667
2016,1,8,21,0.682996561
2016,1,9,24,0.296159134666667
2016,1,9,3,0
2016,1,9,6,0
2016,1,9,9,0
2016,1,9,12,0
2016,1,9,15,0.397226201
2016,1,9,18,0.695054835666667
2016,1,9,21,0.658439701333333
2016,1,10,24,0.286150193666667
2016,1,10,3,0
2016,1,10,6,0
2016,1,10,9,0
2016,1,10,12,0
2016,1,10,15,0.336367722
2016,1,10,18,0.681152968
2016,1,10,21,0.681062550666667
2016,1,11,24,0.299355821666667
2016,1,11,3,0
2016,1,11,6,0
2016,1,11,9,0
2016,1,11,12,0
2016,1,11,15,0.421017960333333
2016,1,11,18,0.733158731
2016,1,11,21,0.71867991
2016,1,12,24,0.317582984333333
2016,1,12,3,0
2016,1,12,6,0
2016,1,12,9,0
2016,1,12,12,0
2016,1,12,15,0.341366122666667
2016,1,12,18,0.665927479
2016,1,12,21,0.628408982333333
2016,1,13,24,0.242234685
2016,1,13,3,0
2016,1,13,6,0
