BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,2,6,96505959
2015,7,2,9,87805864
2015,7,2,12,71962819
2015,7,2,15,67065402
2015,7,2,18,74590290
2015,7,2,21,86602149
2015,7,3,24,95450490
2015,7,3,3,97090110
2015,7,3,6,91532251
2015,7,3,9,82892064
2015,7,3,12,68459363
2015,7,3,15,63146922
2015,7,3,18,66346176
2015,7,3,21,78541374
2015,7,4,24,87995227
2015,7,4,3,92079058
2015,7,4,6,87882637
2015,7,4,9,79753924
2015,7,4,12,66586774
2015,7,4,15,61019600
2015,7,4,18,62003436
2015,7,4,21,74918423
2015,7,5,24,85131735
2015,7,5,3,88741838
2015,7,5,6,84042537
2015,7,5,9,75915349
2015,7,5,12,65311987
2015,7,5,15,60069734
2015,7,5,18,61217235
2015,7,5,21,75540237
2015,7,6,24,89247127
2015,7,6,3,95892176
2015,7,6,6,93642548
2015,7,6,9,85115754
2015,7,6,12,70494092
2015,7,6,15,66391790
2015,7,6,18,75584566
2015,7,6,21,92017544
2015,7,7,24,106250040
2015,7,7,3,111331520
2015,7,7,6,105972742
2015,7,7,9,94105676
2015,7,7,12,76530979
2015,7,7,15,71129558
2015,7,7,18,79976855
2015,7,7,21,95109990
2015,7,8,24,106188766
2015,7,8,3,108181093
2015,7,8,6,102326421
2015,7,8,9,91545020
2015,7,8,12,75368140
2015,7,8,15,70342152
2015,7,8,18,78754187
2015,7,8,21,92412732
2015,7,9,24,103399397
2015,7,9,3,106093603
2015,7,9,6,100965786
2015,7,9,9,91149992
2015,7,9,12,75239810
2015,7,9,15,70255260
2015,7,9,18,79003860
2015,7,9,21,93260850
2015,7,10,24,104700364
2015,7,10,3,109092573
2015,7,10,6,104474863
2015,7,10,9,93425077
2015,7,10,12,76753428
2015,7,10,15,70695661
2015,7,10,18,78488533
2015,7,10,21,94023281
2015,7,11,24,106012493
2015,7,11,3,110677263
2015,7,11,6,104652260
2015,7,11,9,92455777
2015,7,11,12,75592195
2015,7,11,15,68159740
2015,7,11,18,70721440
2015,7,11,21,87618348
2015,7,12,24,101247823
2015,7,12,3,106295333
2015,7,12,6,101838076
2015,7,12,9,91431787
2015,7,12,12,75371031
2015,7,12,15,67662321
2015,7,12,18,68777699
2015,7,12,21,85634776
2015,7,13,24,100823563
2015,7,13,3,107499129
2015,7,13,6,105406098
2015,7,13,9,95353640
2015,7,13,12,78224485
2015,7,13,15,72628480
2015,7,13,18,81797727
2015,7,13,21,99472565
2015,7,14,24,113884306
2015,7,14,3,118826214
2015,7,14,6,114233961
2015,7,14,9,101209195
2015,7,14,12,81910557
2015,7,14,15,75832392
2015,7,14,18,84680492
2015,7,14,21,100230419
2015,7,15,24,112040387
2015,7,15,3,116008978
2015,7,15,6,110632933
2015,7,15,9,97811584
2015,7,15,12,79903696
2015,7,15,15,73786180
2015,7,15,18,81995120
2015,7,15,21,95537944
2015,7,16,24,106207799
2015,7,16,3,110619442
2015,7,16,6,105167106
2015,7,16,9,93267195
2015,7,16,12,75735944
2015,7,16,15,70011449
2015,7,16,18,77901010
2015,7,16,21,91653915
2015,7,17,24,103036893
2015,7,17,3,108634102
2015,7,17,6,104945781
2015,7,17,9,94135630
2015,7,17,12,76756480
2015,7,17,15,71209463
2015,7,17,18,79799377
2015,7,17,21,96585865
2015,7,18,24,110663369
2015,7,18,3,115893658
2015,7,18,6,110003892
2015,7,18,9,98182520
2015,7,18,12,80720735
2015,7,18,15,72732317
2015,7,18,18,75824602
2015,7,18,21,93906596
2015,7,19,24,107795300
2015,7,19,3,112924562
2015,7,19,6,109224918
2015,7,19,9,97760509
2015,7,19,12,81051919
2015,7,19,15,72786845
2015,7,19,18,74558408
2015,7,19,21,93901938
2015,7,20,24,109967593
2015,7,20,3,115130183
2015,7,20,6,111753371
2015,7,20,9,100072777
2015,7,20,12,82897847
2015,7,20,15,77106215
2015,7,20,18,86602149
2015,7,20,21,105267329
2015,7,21,24,120295262
2015,7,21,3,124552716
2015,7,21,6,118782286
2015,7,21,9,104818575
2015,7,21,12,85020270
2015,7,21,15,78169956
2015,7,21,18,86517586
2015,7,21,21,101982548
2015,7,22,24,114025807
2015,7,22,3,117487262
2015,7,22,6,111177492
2015,7,22,9,97592829
2015,7,22,12,79004984
2015,7,22,15,72720672
2015,7,22,18,80824009
2015,7,22,21,95600503
2015,7,23,24,108105604
2015,7,23,3,113306420
2015,7,23,6,107597183
2015,7,23,9,95149902
2015,7,23,12,77520196
2015,7,23,15,71779720
2015,7,23,18,80789236
2015,7,23,21,95806891
2015,7,24,24,108221246
2015,7,24,3,113266588
2015,7,24,6,108124958
2015,7,24,9,96036808
2015,7,24,12,78425894
2015,7,24,15,72552430
2015,7,24,18,80656490
2015,7,24,21,96121050
2015,7,25,24,108961191
2015,7,25,3,114366066
2015,7,25,6,108705093
2015,7,25,9,95814359
2015,7,25,12,78032552
2015,7,25,15,70153511
2015,7,25,18,72727579
2015,7,25,21,89445805
2015,7,26,24,103802456
2015,7,26,3,109787787
2015,7,26,6,105298327
2015,7,26,9,93754334
2015,7,26,12,77059156
2015,7,26,15,69190796
2015,7,26,18,70329302
2015,7,26,21,87694479
2015,7,27,24,103479623
2015,7,27,3,110008389
2015,7,27,6,106941239
2015,7,27,9,96425813
2015,7,27,12,79664944
2015,7,27,15,74330418
2015,7,27,18,83258022
2015,7,27,21,101377518
2015,7,28,24,116726276
2015,7,28,3,122137736
2015,7,28,6,117115603
2015,7,28,9,103813779
2015,7,28,12,84295824
2015,7,28,15,77262412
2015,7,28,18,86348139
2015,7,28,21,105528726
2015,7,29,24,121413210
2015,7,29,3,126096209
2015,7,29,6,119969378
2015,7,29,9,106072723
2015,7,29,12,86266628
2015,7,29,15,78911267
2015,7,29,18,87752862
2015,7,29,21,105397184
2015,7,30,24,120820307
2015,7,30,3,124994001
2015,7,30,6,119078858
2015,7,30,9,105034118
2015,7,30,12,85260386
2015,7,30,15,78237976
2015,7,30,18,86875673
2015,7,30,21,103801171
2015,7,31,24,117954807
2015,7,31,3,121359565
2015,7,31,6,114661995
2015,7,31,9,100991324
