BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,2,6,234371616
2015,7,2,9,213242813
2015,7,2,12,174766846
2015,7,2,15,162873118
2015,7,2,18,181147847
2015,7,2,21,210319504
2015,7,3,24,231808333
2015,7,3,3,235790266
2015,7,3,6,222292609
2015,7,3,9,201309299
2015,7,3,12,166258454
2015,7,3,15,153356810
2015,7,3,18,161126427
2015,7,3,21,190743338
2015,7,4,24,213702695
2015,7,4,3,223620571
2015,7,4,6,213429262
2015,7,4,9,193688100
2015,7,4,12,161710738
2015,7,4,15,148190457
2015,7,4,18,150579773
2015,7,4,21,181944741
2015,7,5,24,206748499
2015,7,5,3,215515892
2015,7,5,6,204103304
2015,7,5,9,184365847
2015,7,5,12,158614827
2015,7,5,15,145883639
2015,7,5,18,148670427
2015,7,5,21,183454861
2015,7,6,24,216743022
2015,7,6,3,232880999
2015,7,6,6,227417616
2015,7,6,9,206709688
2015,7,6,12,171199937
2015,7,6,15,161237204
2015,7,6,18,183562517
2015,7,6,21,223471177
2015,7,7,24,258035812
2015,7,7,3,270376549
2015,7,7,6,257362373
2015,7,7,9,228542355
2015,7,7,12,185860949
2015,7,7,15,172743212
2015,7,7,18,194229505
2015,7,7,21,230981404
2015,7,8,24,257887004
2015,7,8,3,262725511
2015,7,8,6,248507022
2015,7,8,9,222323619
2015,7,8,12,183036911
2015,7,8,15,170830939
2015,7,8,18,191260168
2015,7,8,21,224430922
2015,7,9,24,251112822
2015,7,9,3,257655893
2015,7,9,6,245202624
2015,7,9,9,221364265
2015,7,9,12,182725252
2015,7,9,15,170619917
2015,7,9,18,191866517
2015,7,9,21,226490637
2015,7,10,24,254272313
2015,7,10,3,264939105
2015,7,10,6,253724667
2015,7,10,9,226889473
2015,7,10,12,186401183
2015,7,10,15,171689463
2015,7,10,18,190615008
2015,7,10,21,228342254
2015,7,11,24,257458913
2015,7,11,3,268787638
2015,7,11,6,254155489
2015,7,11,9,224535458
2015,7,11,12,183581045
2015,7,11,15,165530796
2015,7,11,18,171752068
2015,7,11,21,212787418
2015,7,12,24,245887570
2015,7,12,3,258145809
2015,7,12,6,247321043
2015,7,12,9,222048626
2015,7,12,12,183043932
2015,7,12,15,164322778
2015,7,12,18,167031554
2015,7,12,21,207970169
2015,7,13,24,244857225
2015,7,13,3,261069313
2015,7,13,6,255986239
2015,7,13,9,231573126
2015,7,13,12,189973748
2015,7,13,15,176383452
2015,7,13,18,198651622
2015,7,13,21,241576230
2015,7,14,24,276576173
2015,7,14,3,288577947
2015,7,14,6,277425334
2015,7,14,9,245793760
2015,7,14,12,198925639
2015,7,14,15,184164381
2015,7,14,18,205652624
2015,7,14,21,243416731
2015,7,15,24,272098082
2015,7,15,3,281736089
2015,7,15,6,268679981
2015,7,15,9,237542418
2015,7,15,12,194051832
2015,7,15,15,179195009
2015,7,15,18,199131006
2015,7,15,21,232020721
2015,7,16,24,257933226
2015,7,16,3,268647216
2015,7,16,6,255405829
2015,7,16,9,226506044
2015,7,16,12,183930150
2015,7,16,15,170027805
2015,7,16,18,189188166
2015,7,16,21,222588080
2015,7,17,24,250232455
2015,7,17,3,263825677
2015,7,17,6,254868325
2015,7,17,9,228615102
2015,7,17,12,186408595
2015,7,17,15,172937267
2015,7,17,18,193798488
2015,7,17,21,234565671
2015,7,18,24,268753897
2015,7,18,3,281456026
2015,7,18,6,267152309
2015,7,18,9,238443263
2015,7,18,12,196036070
2015,7,18,15,176635626
2015,7,18,18,184145463
2015,7,18,21,228058875
2015,7,19,24,261788585
2015,7,19,3,274245365
2015,7,19,6,265260515
2015,7,19,9,237418379
2015,7,19,12,196840375
2015,7,19,15,176768052
2015,7,19,18,181070420
2015,7,19,21,228047563
2015,7,20,24,267064155
2015,7,20,3,279601873
2015,7,20,6,271401044
2015,7,20,9,243033887
2015,7,20,12,201323342
2015,7,20,15,187257952
2015,7,20,18,210319504
2015,7,20,21,255649226
2015,7,21,24,292145636
2015,7,21,3,302485168
2015,7,21,6,288471266
2015,7,21,9,254559397
2015,7,21,12,206477797
2015,7,21,15,189841323
2015,7,21,18,210114137
2015,7,21,21,247671902
2015,7,22,24,276919816
2015,7,22,3,285326207
2015,7,22,6,270002481
2015,7,22,9,237011156
2015,7,22,12,191869248
2015,7,22,15,176607347
2015,7,22,18,196286879
2015,7,22,21,232172649
2015,7,23,24,262542182
2015,7,23,3,275172735
2015,7,23,6,261307445
2015,7,23,9,231078334
2015,7,23,12,188263333
2015,7,23,15,174322177
2015,7,23,18,196202431
2015,7,23,21,232673877
2015,7,24,24,262823026
2015,7,24,3,275075999
2015,7,24,6,262589185
2015,7,24,9,233232249
2015,7,24,12,190462884
2015,7,24,15,176198758
2015,7,24,18,195880046
2015,7,24,21,233436836
2015,7,25,24,264620035
2015,7,25,3,277746159
2015,7,25,6,263998083
2015,7,25,9,232692015
2015,7,25,12,189507626
2015,7,25,15,170372813
2015,7,25,18,176624119
2015,7,25,21,217225527
2015,7,26,24,252091679
2015,7,26,3,266627482
2015,7,26,6,255724508
2015,7,26,9,227689098
2015,7,26,12,187143664
2015,7,26,15,168034790
2015,7,26,18,170799735
2015,7,26,21,212972306
2015,7,27,24,251307657
2015,7,27,3,267163230
2015,7,27,6,259714438
2015,7,27,9,234176976
2015,7,27,12,193472007
2015,7,27,15,180516729
2015,7,27,18,202198053
2015,7,27,21,246202544
2015,7,28,24,283478100
2015,7,28,3,296620217
2015,7,28,6,284423607
2015,7,28,9,252119178
2015,7,28,12,204718429
2015,7,28,15,187637285
2015,7,28,18,209702623
2015,7,28,21,256284050
2015,7,29,24,294860653
2015,7,29,3,306233650
2015,7,29,6,291354203
2015,7,29,9,257605185
2015,7,29,12,209504668
2015,7,29,15,191641648
2015,7,29,18,213114093
2015,7,29,21,255964590
2015,7,30,24,293420744
2015,7,30,3,303556859
2015,7,30,6,289191512
2015,7,30,9,255082858
2015,7,30,12,207060938
2015,7,30,15,190006514
2015,7,30,18,210983777
2015,7,30,21,252088558
2015,7,31,24,286461673
2015,7,31,3,294730373
2015,7,31,6,278464846
2015,7,31,9,245264643
2015,7,31,12,197988519
2015,7,31,15,179801943
2015,7,31,18,199116574
2015,7,31,21,239006121
2015,8,1,24,270993040
2015,8,1,3,283771035
2015,8,1,6,266219284
2015,8,1,9,230107473
2015,8,1,12,186033941
2015,8,1,15,166588055
2015,8,1,18,173025030
2015,8,1,21,214107968
2015,8,2,24,246341600
2015,8,2,3,260123417
2015,8,2,6,250888732
2015,8,2,9,220264294
2015,8,2,12,179768983
2015,8,2,15,161204244
2015,8,2,18,165059798
2015,8,2,21,206590525
2015,8,3,24,245745003
2015,8,3,3,265267341
2015,8,3,6,259640326
2015,8,3,9,229193561
2015,8,3,12,186256471
2015,8,3,15,172643356
2015,8,3,18,195080812
2015,8,3,21,234853731
2015,8,4,24,270810297
2015,8,4,3,285402854
2015,8,4,6,273142664
2015,8,4,9,239163510
2015,8,4,12,193565231
2015,8,4,15,178190603
2015,8,4,18,198994680
2015,8,4,21,238374223
2015,8,5,24,274083295
2015,8,5,3,286033387
2015,8,5,6,271137558
2015,8,5,9,237288684
2015,8,5,12,192253653
2015,8,5,15,177347097
2015,8,5,18,197797974
2015,8,5,21,234752900
2015,8,6,24,268153204
2015,8,6,3,278449829
2015,8,6,6,262020281
2015,8,6,9,230491683
2015,8,6,12,187769321
2015,8,6,15,174333099
2015,8,6,18,195078081
2015,8,6,21,226171177
2015,8,7,24,252053843
2015,8,7,3,260942154
2015,8,7,6,249200355
2015,8,7,9,223479759
2015,8,7,12,184687842
2015,8,7,15,172128281
2015,8,7,18,192303580
2015,8,7,21,224569393
2015,8,8,24,250383798
2015,8,8,3,262468851
2015,8,8,6,249648534
2015,8,8,9,222644834
2015,8,8,12,183167581
2015,8,8,15,166393220
2015,8,8,18,173345660
2015,8,8,21,207907955
2015,8,9,24,236991068
2015,8,9,3,249175976
2015,8,9,6,239913207
2015,8,9,9,215866556
2015,8,9,12,179089497
2015,8,9,15,162154432
2015,8,9,18,166194679
2015,8,9,21,202688749
2015,8,10,24,238644925
2015,8,10,3,256199602
2015,8,10,6,250913306
2015,8,10,9,225990189
2015,8,10,12,186306984
2015,8,10,15,174629545
2015,8,10,18,198566978
2015,8,10,21,233697201
2015,8,11,24,263101724
2015,8,11,3,272564789
2015,8,11,6,261143620
2015,8,11,9,231603356
2015,8,11,12,189249016
2015,8,11,15,176787165
2015,8,11,18,199371478
2015,8,11,21,232243640
2015,8,12,24,262877829
2015,8,12,3,274446247
2015,8,12,6,261095643
2015,8,12,9,228270483
2015,8,12,12,184414605
2015,8,12,15,170562773
2015,8,12,18,192164134
2015,8,12,21,227471444
2015,8,13,24,257349501
2015,8,13,3,271916119
2015,8,13,6,258717053
2015,8,13,9,225395346
2015,8,13,12,181217668
2015,8,13,15,167979206
2015,8,13,18,189641612
2015,8,13,21,223810140
2015,8,14,24,255348295
2015,8,14,3,269856014
2015,8,14,6,257292942
2015,8,14,9,225623142
2015,8,14,12,182401892
2015,8,14,15,168559227
2015,8,14,18,190059952
2015,8,14,21,225320845
2015,8,15,24,260697196
2015,8,15,3,277248442
2015,8,15,6,259558219
2015,8,15,9,225494812
2015,8,15,12,183330626
2015,8,15,15,165031323
2015,8,15,18,172605325
2015,8,15,21,213405859
2015,8,16,24,251156899
2015,8,16,3,265505278
2015,8,16,6,251986752
2015,8,16,9,221669683
2015,8,16,12,181183148
2015,8,16,15,163230414
2015,8,16,18,167544679
2015,8,16,21,210097950
2015,8,17,24,250898483
2015,8,17,3,268784712
2015,8,17,6,260029607
2015,8,17,9,230377590
2015,8,17,12,188717363
2015,8,17,15,176936363
2015,8,17,18,202500154
2015,8,17,21,242736855
2015,8,18,24,278596686
2015,8,18,3,285992235
2015,8,18,6,270584842
2015,8,18,9,237345243
2015,8,18,12,193147672
2015,8,18,15,181046822
