BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,2,9,136313789
2015,7,2,12,116941429
2015,7,2,15,98736957
2015,7,2,18,97727847
2015,7,2,21,112138062
2015,7,3,24,128872006
2015,7,3,3,138319962
2015,7,3,6,137063967
2015,7,3,9,127635629
2015,7,3,12,110984745
2015,7,3,15,93792480
2015,7,3,18,90427863
2015,7,3,21,99641668
2015,7,4,24,117639752
2015,7,4,3,128532883
2015,7,4,6,131082847
2015,7,4,9,122287669
2015,7,4,12,107509993
2015,7,4,15,91106339
2015,7,4,18,86465421
2015,7,4,21,93135687
2015,7,5,24,113238263
2015,7,5,3,124136900
2015,7,5,6,126248963
2015,7,5,9,115989796
2015,7,5,12,103811875
2015,7,5,15,89406822
2015,7,5,18,85124301
2015,7,5,21,92545777
2015,7,6,24,115398281
2015,7,6,3,131767977
2015,7,6,6,137656286
2015,7,6,9,130786401
2015,7,6,12,114078729
2015,7,6,15,96924322
2015,7,6,18,96990747
2015,7,6,21,115546274
2015,7,7,24,139010025
2015,7,7,3,155892307
2015,7,7,6,158313436
2015,7,7,9,146997204
2015,7,7,12,125167463
2015,7,7,15,104694903
2015,7,7,18,103729847
2015,7,7,21,121178061
2015,7,8,24,142457129
2015,7,8,3,153977109
2015,7,8,6,153073890
2015,7,8,9,142300531
2015,7,8,12,122113518
2015,7,8,15,103375695
2015,7,8,18,102685059
2015,7,8,21,118658155
2015,7,9,24,138264895
2015,7,9,3,150470120
2015,7,9,6,150148320
2015,7,9,9,140969850
2015,7,9,12,121788391
2015,7,9,15,103182271
2015,7,9,18,102673127
2015,7,9,21,119272615
2015,7,10,24,139660623
2015,7,10,3,152833773
2015,7,10,6,155266489
2015,7,10,9,145314437
2015,7,10,12,124618854
2015,7,10,15,105001674
2015,7,10,18,102572629
2015,7,10,21,119025844
2015,7,11,24,141165798
2015,7,11,3,154876314
2015,7,11,6,157314537
2015,7,11,9,144399745
2015,7,11,12,123631198
2015,7,11,15,102825251
2015,7,11,18,96715984
2015,7,11,21,107343415
2015,7,12,24,133356212
2015,7,12,3,148104632
2015,7,12,6,151617702
2015,7,12,9,141321134
2015,7,12,12,122715359
2015,7,12,15,102501386
2015,7,12,18,95507599
2015,7,12,21,104259183
2015,7,13,24,130901354
2015,7,13,3,148437331
2015,7,13,6,154265525
2015,7,13,9,147223325
2015,7,13,12,127377959
2015,7,13,15,107170411
2015,7,13,18,105779386
2015,7,13,21,124672660
2015,7,14,24,150334976
2015,7,14,3,166383331
2015,7,14,6,169367294
2015,7,14,9,158671145
2015,7,14,12,134303485
2015,7,14,15,111984906
2015,7,14,18,110402293
2015,7,14,21,128009628
2015,7,15,24,149981627
2015,7,15,3,163140436
2015,7,15,6,164871158
2015,7,15,9,153289111
2015,7,15,12,130372478
2015,7,15,15,109229128
2015,7,15,18,107298787
2015,7,15,21,123319379
2015,7,16,24,142493955
2015,7,16,3,154911763
2015,7,16,6,157168838
2015,7,16,9,145909280
2015,7,16,12,124013113
2015,7,16,15,103450725
2015,7,16,18,101903905
2015,7,16,21,117450344
2015,7,17,24,137228137
2015,7,17,3,150810162
2015,7,17,6,155298153
2015,7,17,9,146123125
2015,7,17,12,125474578
2015,7,17,15,104951999
2015,7,17,18,103822544
2015,7,17,21,121149036
2015,7,18,24,145905723
2015,7,18,3,162023486
2015,7,18,6,164606834
2015,7,18,9,152601916
2015,7,18,12,131363576
2015,7,18,15,109902900
2015,7,18,18,103328659
2015,7,18,21,115346311
2015,7,19,24,142448180
2015,7,19,3,157595036
2015,7,19,6,161081490
2015,7,19,9,151841298
2015,7,19,12,131300478
2015,7,19,15,110418354
2015,7,19,18,102615192
2015,7,19,21,113766107
2015,7,20,24,143586125
2015,7,20,3,160913419
2015,7,20,6,164551652
2015,7,20,9,155595287
2015,7,20,12,133928568
2015,7,20,15,113528170
2015,7,20,18,112315081
2015,7,20,21,131925607
2015,7,21,24,159024608
2015,7,21,3,175548722
2015,7,21,6,176866668
2015,7,21,9,164691156
2015,7,21,12,139242111
2015,7,21,15,115988878
2015,7,21,18,113598266
2015,7,21,21,130360661
2015,7,22,24,152723409
2015,7,22,3,165867418
2015,7,22,6,166642033
2015,7,22,9,153654277
2015,7,22,12,129505396
2015,7,22,15,107842348
2015,7,22,18,105709061
2015,7,22,21,122042848
2015,7,23,24,143418284
2015,7,23,3,158196533
2015,7,23,6,161112809
2015,7,23,9,149057413
2015,7,23,12,126470380
2015,7,23,15,105963977
2015,7,23,18,104932152
2015,7,23,21,122085296
2015,7,24,24,143789874
2015,7,24,3,158268923
2015,7,24,6,161167188
2015,7,24,9,150022469
2015,7,24,12,127969016
2015,7,24,15,107201157
2015,7,24,18,105462978
2015,7,24,21,122036424
2015,7,25,24,144414085
2015,7,25,3,159560827
2015,7,25,6,162771829
2015,7,25,9,150185606
2015,7,25,12,127813680
2015,7,25,15,106017782
2015,7,25,18,99591993
2015,7,25,21,110116516
2015,7,26,24,136054857
2015,7,26,3,152356752
2015,7,26,6,156728413
2015,7,26,9,145883467
2015,7,26,12,125528269
2015,7,26,15,104812265
2015,7,26,18,97745974
2015,7,26,21,106551018
2015,7,27,24,134145396
2015,7,27,3,152351130
2015,7,27,6,157411708
2015,7,27,9,149204718
2015,7,27,12,129045468
2015,7,27,15,109157082
2015,7,27,18,108401397
2015,7,27,21,126590381
2015,7,28,24,153583951
2015,7,28,3,170751321
2015,7,28,6,173998117
2015,7,28,9,162604906
2015,7,28,12,138106347
2015,7,28,15,114800111
2015,7,28,18,112313819
2015,7,28,21,131450422
2015,7,29,24,159930696
2015,7,29,3,177386252
2015,7,29,6,178944315
2015,7,29,9,166447920
2015,7,29,12,141088589
2015,7,29,15,117502887
2015,7,29,18,114631353
2015,7,29,21,132745193
2015,7,30,24,159399640
2015,7,30,3,176407774
2015,7,30,6,177331873
2015,7,30,9,165083052
2015,7,30,12,139559093
2015,7,30,15,116231634
2015,7,30,18,113827484
2015,7,30,21,131232791
2015,7,31,24,156352349
2015,7,31,3,171864026
2015,7,31,6,171829724
2015,7,31,9,158748354
2015,7,31,12,134189909
2015,7,31,15,110658586
2015,7,31,18,107200584
2015,7,31,21,124379541
2015,8,1,24,148062414
2015,8,1,3,163219710
2015,8,1,6,165928566
2015,8,1,9,150286218
2015,8,1,12,126023417
2015,8,1,15,103848242
2015,8,1,18,97372204
2015,8,1,21,108239866
2015,8,2,24,133856981
2015,8,2,3,148496643
2015,8,2,6,153297486
2015,8,2,9,142670170
2015,8,2,12,120955726
2015,8,2,15,100704468
2015,8,2,18,93691179
2015,8,2,21,103293553
2015,8,3,24,130512899
2015,8,3,3,149439328
2015,8,3,6,157244670
2015,8,3,9,148370791
2015,8,3,12,125322684
2015,8,3,15,104776586
2015,8,3,18,103901589
2015,8,3,21,121938105
2015,8,4,24,146092264
2015,8,4,3,163774858
2015,8,4,6,167381312
2015,8,4,9,155727564
2015,8,4,12,130551905
2015,8,4,15,108741438
2015,8,4,18,106803984
2015,8,4,21,123889556
2015,8,5,24,148399358
2015,8,5,3,165260071
2015,8,5,6,167150603
2015,8,5,9,154405832
2015,8,5,12,129558513
2015,8,5,15,108068468
2015,8,5,18,106326963
2015,8,5,21,122903964
2015,8,6,24,145635434
2015,8,6,3,161529830
2015,8,6,6,162168267
2015,8,6,9,149364643
2015,8,6,12,126112901
2015,8,6,15,105696900
2015,8,6,18,104911846
2015,8,6,21,120513352
2015,8,7,24,138983983
2015,8,7,3,151262402
2015,8,7,6,152423292
2015,8,7,9,143109103
2015,8,7,12,122985533
2015,8,7,15,104147212
2015,8,7,18,103499712
2015,8,7,21,119137356
2015,8,8,24,137991852
2015,8,8,3,150775744
2015,8,8,6,153615730
2015,8,8,9,142764244
2015,8,8,12,122464573
2015,8,8,15,102950185
2015,8,8,18,97588573
2015,8,8,21,107327239
2015,8,9,24,129255413
2015,8,9,3,142821835
2015,8,9,6,146428748
2015,8,9,9,137573340
2015,8,9,12,119101562
2015,8,9,15,100702059
2015,8,9,18,94575125
2015,8,9,21,103139364
2015,8,10,24,127304536
2015,8,10,3,145003077
2015,8,10,6,151471544
2015,8,10,9,144278941
2015,8,10,12,124319999
2015,8,10,15,105181217
2015,8,10,18,105558084
2015,8,10,21,123358959
2015,8,11,24,144281121
2015,8,11,3,157910985
2015,8,11,6,159476275
2015,8,11,9,149633326
2015,8,11,12,126777496
2015,8,11,15,106761192
2015,8,11,18,106729184
2015,8,11,21,123174024
2015,8,12,24,143434460
2015,8,12,3,158381582
2015,8,12,6,160515672
2015,8,12,9,148748691
2015,8,12,12,124568376
2015,8,12,15,103678795
2015,8,12,18,102526510
2015,8,12,21,119654415
2015,8,13,24,140475391
2015,8,13,3,155437313
2015,8,13,6,159448742
2015,8,13,9,147196365
2015,8,13,12,122675779
2015,8,13,15,101881993
2015,8,13,18,101200649
2015,8,13,21,117761818
2015,8,14,24,138680424
2015,8,14,3,154297074
2015,8,14,6,158288541
2015,8,14,9,146629400
2015,8,14,12,123154636
2015,8,14,15,102453431
2015,8,14,18,101481951
2015,8,14,21,118070196
2015,8,15,24,140088313
2015,8,15,3,158340740
2015,8,15,6,161884900
2015,8,15,9,147181795
2015,8,15,12,123291272
2015,8,15,15,102636645
2015,8,15,18,96694531
2015,8,15,21,107820206
2015,8,16,24,134203790
2015,8,16,3,152084857
2015,8,16,6,155480678
2015,8,16,9,143396716
2015,8,16,12,121689843
2015,8,16,15,101603214
2015,8,16,18,95137960
2015,8,16,21,104791615
2015,8,17,24,132860032
2015,8,17,3,152579086
2015,8,17,6,158319631
2015,8,17,9,148793433
2015,8,17,12,126199747
2015,8,17,15,106541955
2015,8,17,18,107252095
2015,8,17,21,126115540
2015,8,18,24,151139304
2015,8,18,3,167217372
2015,8,18,6,166411553
2015,8,18,9,154767326
2015,8,18,12,129335490
2015,8,18,15,109086871
2015,8,18,18,109503547
2015,8,18,21,127142202
2015,8,19,24,147062597
2015,8,19,3,161144932
2015,8,19,6,162032090
