BEGIN_DATA,,,,
year,month,day,hour,solar_capacity
2016,1,1,24,0
2016,1,1,3,0
2016,1,1,6,0
2016,1,1,9,0.002757911
2016,1,1,12,0.464170117
2016,1,1,15,0.734288732333333
2016,1,1,18,0.731224524
2016,1,1,21,0.533935589666667
2016,1,2,24,0.059483276
2016,1,2,3,0
2016,1,2,6,0
2016,1,2,9,0.00363635566666667
2016,1,2,12,0.499685938
2016,1,2,15,0.689548430333333
2016,1,2,18,0.658557837333333
2016,1,2,21,0.436871992666667
2016,1,3,24,0.0396518916666667
2016,1,3,3,0
2016,1,3,6,0
2016,1,3,9,0.00166904966666667
2016,1,3,12,0.342940623
2016,1,3,15,0.626635460333333
2016,1,3,18,0.642796972666667
2016,1,3,21,0.390909351333333
2016,1,4,24,0.032543617
2016,1,4,3,0
2016,1,4,6,0
2016,1,4,9,0.001998587
2016,1,4,12,0.469610190333333
2016,1,4,15,0.766902314666667
2016,1,4,18,0.78825145
2016,1,4,21,0.583532188
2016,1,5,24,0.0654979303333333
2016,1,5,3,0
2016,1,5,6,0
2016,1,5,9,0.003104592
2016,1,5,12,0.404871744333333
2016,1,5,15,0.633040503666667
2016,1,5,18,0.652821874
2016,1,5,21,0.472238930666667
2016,1,6,24,0.0491006736666667
2016,1,6,3,0
2016,1,6,6,0
2016,1,6,9,0.00188809233333333
2016,1,6,12,0.367762947666667
2016,1,6,15,0.673604894333333
2016,1,6,18,0.702771786333333
2016,1,6,21,0.526630943333333
2016,1,7,24,0.0600114776666667
2016,1,7,3,0
2016,1,7,6,0
2016,1,7,9,0.00220538533333333
2016,1,7,12,0.373549946333333
2016,1,7,15,0.677541484
2016,1,7,18,0.677069619333333
2016,1,7,21,0.432872580666667
2016,1,8,24,0.0367686253333333
2016,1,8,3,0
2016,1,8,6,0
2016,1,8,9,0.00143533433333333
2016,1,8,12,0.518615939666667
2016,1,8,15,0.769754362
2016,1,8,18,0.729994348
2016,1,8,21,0.543123246666667
2016,1,9,24,0.062282085
2016,1,9,3,0
2016,1,9,6,0
2016,1,9,9,0.002648403
2016,1,9,12,0.347407580666667
2016,1,9,15,0.622513171333333
2016,1,9,18,0.639193168
2016,1,9,21,0.458013087666667
2016,1,10,24,0.052866837
2016,1,10,3,0
2016,1,10,6,0
2016,1,10,9,0.00267283666666667
2016,1,10,12,0.526053174333333
2016,1,10,15,0.811010258
2016,1,10,18,0.808826670333333
2016,1,10,21,0.632815777666667
2016,1,11,24,0.0821639726666667
2016,1,11,3,0
2016,1,11,6,0
2016,1,11,9,0.00282545833333333
2016,1,11,12,0.502563106333333
2016,1,11,15,0.743508583333333
2016,1,11,18,0.743433336
2016,1,11,21,0.558523876666667
2016,1,12,24,0.0685230566666667
2016,1,12,3,0
2016,1,12,6,0
2016,1,12,9,0.00169375133333333
2016,1,12,12,0.561260586
2016,1,12,15,0.800645619666667
2016,1,12,18,0.791680607666667
2016,1,12,21,0.626674814
2016,1,13,24,0.080667896
2016,1,13,3,0
2016,1,13,6,0
2016,1,13,9,0.00130620466666667
2016,1,13,12,0.388995567333333
2016,1,13,15,0.644872994666667
2016,1,13,18,0.643771921333333
2016,1,13,21,0.480543916666667
2016,1,14,24,0.0661297726666667
2016,1,14,3,0
2016,1,14,6,0
2016,1,14,9,0.00184287
2016,1,14,12,0.607708642333333
2016,1,14,15,0.866760027
2016,1,14,18,0.862300617
2016,1,14,21,0.712658244666667
2016,1,15,24,0.086951104
2016,1,15,3,0
2016,1,15,6,0
2016,1,15,9,0.000823385
2016,1,15,12,0.634569608666667
2016,1,15,15,0.842522374
2016,1,15,18,0.809271022666667
2016,1,15,21,0.637080191
2016,1,16,24,0.0804511243333333
2016,1,16,3,0
2016,1,16,6,0
2016,1,16,9,0.000711641
2016,1,16,12,0.529483981
2016,1,16,15,0.782020053
2016,1,16,18,0.785496046666667
2016,1,16,21,0.633727884666667
2016,1,17,24,0.0787860146666667
2016,1,17,3,0
2016,1,17,6,0
2016,1,17,9,0.00065828
2016,1,17,12,0.536259155333333
2016,1,17,15,0.791922513
2016,1,17,18,0.775574946666667
2016,1,17,21,0.554994109666667
2016,1,18,24,0.06333047
2016,1,18,3,0
2016,1,18,6,0
2016,1,18,9,0.000507156333333333
2016,1,18,12,0.484777143
2016,1,18,15,0.789304705666667
2016,1,18,18,0.796623995
2016,1,18,21,0.647082534666667
2016,1,19,24,0.0743447213333333
2016,1,19,3,0
2016,1,19,6,0
2016,1,19,9,0.000459953333333333
2016,1,19,12,0.638977883
2016,1,19,15,0.861559005
2016,1,19,18,0.854445554333333
2016,1,19,21,0.724081538666667
2016,1,20,24,0.0709127826666667
2016,1,20,3,0
2016,1,20,6,0
2016,1,20,9,0.000414299
2016,1,20,12,0.619360558666667
2016,1,20,15,0.845888404666667
2016,1,20,18,0.824980121333333
2016,1,20,21,0.680801654666667
2016,1,21,24,0.0617241383333333
2016,1,21,3,0
2016,1,21,6,0
2016,1,21,9,0.000311431666666667
2016,1,21,12,0.587612343666667
2016,1,21,15,0.840724792333333
2016,1,21,18,0.837419344
2016,1,21,21,0.708136647
2016,1,22,24,0.0725292836666667
2016,1,22,3,0
2016,1,22,6,0
2016,1,22,9,0.000290056333333333
2016,1,22,12,0.671134543
2016,1,22,15,0.87397587
2016,1,22,18,0.856964323666667
2016,1,22,21,0.717814249
2016,1,23,24,0.0720417033333333
2016,1,23,3,0
2016,1,23,6,0
2016,1,23,9,0.000221324666666667
2016,1,23,12,0.536600961
2016,1,23,15,0.809344462
2016,1,23,18,0.799829033666667
2016,1,23,21,0.605119638333333
2016,1,24,24,0.0451374926666667
2016,1,24,3,0
2016,1,24,6,0
2016,1,24,9,0.000138387666666667
2016,1,24,12,0.520439139
2016,1,24,15,0.751820490666667
2016,1,24,18,0.767141412333333
2016,1,24,21,0.64903326
2016,1,25,24,0.0602079
2016,1,25,3,0
2016,1,25,6,0
2016,1,25,9,7.31396666666667e-05
2016,1,25,12,0.475314808333333
2016,1,25,15,0.734756950333333
2016,1,25,18,0.731530086666667
2016,1,25,21,0.521531764
