BEGIN_DATA,,,,
year,month,day,hour,demand
2014,12,31,15,15676086
2014,12,31,18,13448264
2014,12,31,21,11354750
2015,1,1,24,11238702
2015,1,1,3,12895877
2015,1,1,6,14820281
2015,1,1,9,15906796
2015,1,1,12,15762356
2015,1,1,15,14678097
2015,1,1,18,12763246
2015,1,1,21,10786135
2015,1,2,24,10399204
2015,1,2,3,11458792
2015,1,2,6,13528572
2015,1,2,9,14781282
2015,1,2,12,15074527
2015,1,2,15,14063082
2015,1,2,18,12363649
2015,1,2,21,10477229
2015,1,3,24,9943523
2015,1,3,3,10710604
2015,1,3,6,13022400
2015,1,3,9,14275744
2015,1,3,12,14518631
2015,1,3,15,13338827
2015,1,3,18,11938366
2015,1,3,21,10281785
2015,1,4,24,9789295
2015,1,4,3,10642764
2015,1,4,6,13270802
2015,1,4,9,15153317
2015,1,4,12,15830473
2015,1,4,15,15040436
2015,1,4,18,13119054
2015,1,4,21,11146297
2015,1,5,24,11153936
2015,1,5,3,13287822
2015,1,5,6,15986153
2015,1,5,9,17927615
2015,1,5,12,18206045
2015,1,5,15,16904679
2015,1,5,18,14394258
2015,1,5,21,12039914
2015,1,6,24,11928932
2015,1,6,3,13935477
2015,1,6,6,16382570
2015,1,6,9,17707368
2015,1,6,12,17603497
2015,1,6,15,16364561
2015,1,6,18,14043055
2015,1,6,21,11888205
2015,1,7,24,11808782
2015,1,7,3,13645688
2015,1,7,6,15900463
2015,1,7,9,17304064
2015,1,7,12,17267057
2015,1,7,15,16211533
2015,1,7,18,14005665
2015,1,7,21,11865961
2015,1,8,24,11807410
2015,1,8,3,13716351
2015,1,8,6,16060972
2015,1,8,9,17575884
2015,1,8,12,17855646
2015,1,8,15,16711160
2015,1,8,18,14331168
2015,1,8,21,12075193
2015,1,9,24,11795852
2015,1,9,3,13687972
2015,1,9,6,16234067
2015,1,9,9,17810776
2015,1,9,12,18091172
2015,1,9,15,16605971
2015,1,9,18,14217588
2015,1,9,21,11824904
2015,1,10,24,11122338
2015,1,10,3,12344493
2015,1,10,6,15335964
2015,1,10,9,17032033
2015,1,10,12,17436036
2015,1,10,15,16251930
2015,1,10,18,14112266
2015,1,10,21,11787659
2015,1,11,24,10983374
2015,1,11,3,11989806
2015,1,11,6,15053656
2015,1,11,9,17070293
2015,1,11,12,17740535
2015,1,11,15,16930682
2015,1,11,18,14648465
2015,1,11,21,12324597
2015,1,12,24,12164629
2015,1,12,3,14337356
2015,1,12,6,17288522
2015,1,12,9,19134083
2015,1,12,12,19477239
2015,1,12,15,18247182
2015,1,12,18,15444901
2015,1,12,21,12878264
2015,1,13,24,12696264
2015,1,13,3,14721107
2015,1,13,6,17247887
2015,1,13,9,18761150
2015,1,13,12,18960183
2015,1,13,15,17628248
2015,1,13,18,14992835
2015,1,13,21,12561350
2015,1,14,24,12339361
2015,1,14,3,14181729
2015,1,14,6,16386805
2015,1,14,9,17814853
2015,1,14,12,18074416
2015,1,14,15,16779567
2015,1,14,18,14261508
2015,1,14,21,11896833
2015,1,15,24,11718949
2015,1,15,3,13506790
2015,1,15,6,15781236
2015,1,15,9,17343169
