BEGIN_DATA,,,,
year,month,day,hour,wind_capacity
2016,1,1,24,0.688048034
2016,1,1,3,0.663716233666667
2016,1,1,6,0.517052159
2016,1,1,9,0.399368528666667
2016,1,1,12,0.275436308
2016,1,1,15,0.308338611
2016,1,1,18,0.655711713
2016,1,1,21,0.766359064333333
2016,1,2,24,0.719926695333333
2016,1,2,3,0.65824659
2016,1,2,6,0.527760339333333
2016,1,2,9,0.450049362333333
2016,1,2,12,0.309806948333333
2016,1,2,15,0.323395765333333
2016,1,2,18,0.603512083333333
2016,1,2,21,0.680127032666667
2016,1,3,24,0.640058254666667
2016,1,3,3,0.582003804
2016,1,3,6,0.454558114
2016,1,3,9,0.348420169
2016,1,3,12,0.189814546333333
2016,1,3,15,0.191447178666667
2016,1,3,18,0.510521878
2016,1,3,21,0.617105470666667
2016,1,4,24,0.535987002666667
2016,1,4,3,0.456720725666667
2016,1,4,6,0.323524805666667
2016,1,4,9,0.160570678333333
2016,1,4,12,0.0910463486666667
2016,1,4,15,0.132475847666667
2016,1,4,18,0.396233372666667
2016,1,4,21,0.501984538666667
2016,1,5,24,0.502961467333333
2016,1,5,3,0.465355823
2016,1,5,6,0.360399834666667
2016,1,5,9,0.174125686
2016,1,5,12,0.125947470333333
2016,1,5,15,0.180672929666667
2016,1,5,18,0.456458526666667
2016,1,5,21,0.565894706
2016,1,6,24,0.576667545333333
2016,1,6,3,0.535425955
2016,1,6,6,0.387800891333333
2016,1,6,9,0.185846662333333
2016,1,6,12,0.139797493666667
2016,1,6,15,0.14390966
2016,1,6,18,0.375486365
2016,1,6,21,0.533842269666667
2016,1,7,24,0.553444578
2016,1,7,3,0.490828066333333
2016,1,7,6,0.3622724
2016,1,7,9,0.197995836666667
2016,1,7,12,0.200803116333333
2016,1,7,15,0.215148666
2016,1,7,18,0.456237781333333
2016,1,7,21,0.545750359
2016,1,8,24,0.580352379
2016,1,8,3,0.608389611666667
2016,1,8,6,0.461429660333333
2016,1,8,9,0.372896803666667
2016,1,8,12,0.274407351666667
2016,1,8,15,0.291529358666667
2016,1,8,18,0.566530490666667
2016,1,8,21,0.582329631
2016,1,9,24,0.551767244333333
2016,1,9,3,0.513820666333333
2016,1,9,6,0.362141714666667
2016,1,9,9,0.284907140666667
2016,1,9,12,0.178827422
2016,1,9,15,0.240676845333333
2016,1,9,18,0.556698836333333
2016,1,9,21,0.609641808333333
2016,1,10,24,0.573664591666667
2016,1,10,3,0.541493554333333
2016,1,10,6,0.39150903
2016,1,10,9,0.266431364333333
2016,1,10,12,0.134675855666667
2016,1,10,15,0.146809547333333
2016,1,10,18,0.444710643666667
2016,1,10,21,0.60414261
2016,1,11,24,0.604464326333333
2016,1,11,3,0.557604764666667
2016,1,11,6,0.421122699666667
2016,1,11,9,0.273865599
2016,1,11,12,0.211511918666667
2016,1,11,15,0.239741540333333
2016,1,11,18,0.575682923666667
2016,1,11,21,0.689803293333333
2016,1,12,24,0.695256891666667
2016,1,12,3,0.649000818
2016,1,12,6,0.483970877666667
2016,1,12,9,0.328495071
2016,1,12,12,0.218529915333333
2016,1,12,15,0.204507172666667
2016,1,12,18,0.538310083333333
2016,1,12,21,0.709125465333333
2016,1,13,24,0.726080972
2016,1,13,3,0.711552622
2016,1,13,6,0.565336759333333
2016,1,13,9,0.338562913333333
2016,1,13,12,0.232624174666667
2016,1,13,15,0.226013546333333
2016,1,13,18,0.611739706333333
2016,1,13,21,0.818013542333333
2016,1,14,24,0.825677569
2016,1,14,3,0.758779967
2016,1,14,6,0.557963245333333
2016,1,14,9,0.356433036
2016,1,14,12,0.255974185333333
2016,1,14,15,0.302639865666667
2016,1,14,18,0.671395376
2016,1,14,21,0.813554213
2016,1,15,24,0.779421936666667
2016,1,15,3,0.713005838
2016,1,15,6,0.512264043666667
2016,1,15,9,0.312257098333333
2016,1,15,12,0.170005610333333
2016,1,15,15,0.178669746
2016,1,15,18,0.470875491666667
2016,1,15,21,0.605026043666667
2016,1,16,24,0.614773985333333
2016,1,16,3,0.563129208666667
2016,1,16,6,0.395489247666667
2016,1,16,9,0.199667210333333
2016,1,16,12,0.153300041333333
2016,1,16,15,0.136567598
2016,1,16,18,0.37955959
2016,1,16,21,0.509688264
2016,1,17,24,0.497534549666667
2016,1,17,3,0.481867146333333
2016,1,17,6,0.403131935333333
2016,1,17,9,0.244139817666667
2016,1,17,12,0.214007418
2016,1,17,15,0.197404250333333
2016,1,17,18,0.408113393333333
2016,1,17,21,0.576032819333333
2016,1,18,24,0.635268754333333
2016,1,18,3,0.688507692
2016,1,18,6,0.570738761666667
2016,1,18,9,0.452341594
2016,1,18,12,0.281570082666667
2016,1,18,15,0.276461781
2016,1,18,18,0.600091307
2016,1,18,21,0.668955532333333
2016,1,19,24,0.628868192333333
2016,1,19,3,0.567536813666667
2016,1,19,6,0.420597921
2016,1,19,9,0.314544954
2016,1,19,12,0.163578706666667
2016,1,19,15,0.178782542333333
2016,1,19,18,0.45869512
2016,1,19,21,0.562356832333333
2016,1,20,24,0.554922699666667
2016,1,20,3,0.510313075333333
2016,1,20,6,0.356877128666667
2016,1,20,9,0.196546937666667
2016,1,20,12,0.0815275266666667
2016,1,20,15,0.109861172666667
2016,1,20,18,0.440373741333333
2016,1,20,21,0.635531340333333
2016,1,21,24,0.631613923333333
2016,1,21,3,0.57424389
2016,1,21,6,0.397954267666667
2016,1,21,9,0.182300391
2016,1,21,12,0.0932961903333333
2016,1,21,15,0.113299364333333
2016,1,21,18,0.488186820333333
2016,1,21,21,0.698856426
2016,1,22,24,0.683512301
2016,1,22,3,0.606732394
2016,1,22,6,0.441108889666667
2016,1,22,9,0.251609299666667
2016,1,22,12,0.189097859666667
2016,1,22,15,0.260226097
2016,1,22,18,0.69212736
2016,1,22,21,0.803697779666667
2016,1,23,24,0.782815057333333
2016,1,23,3,0.735881174333333
2016,1,23,6,0.579960418666667
2016,1,23,9,0.474946936666667
2016,1,23,12,0.473134020333333
2016,1,23,15,0.482583734
2016,1,23,18,0.814661934333333
2016,1,23,21,0.856093503666667
2016,1,24,24,0.796592928333333
2016,1,24,3,0.732947361333333
2016,1,24,6,0.618171597666667
2016,1,24,9,0.586377027333333
2016,1,24,12,0.534821914666667
2016,1,24,15,0.492604062
2016,1,24,18,0.719181506666667
2016,1,24,21,0.784369860333333
2016,1,25,24,0.75293045
2016,1,25,3,0.705185319333333
2016,1,25,6,0.591564605666667
2016,1,25,9,0.541784949
2016,1,25,12,0.420646401
2016,1,25,15,0.427471465333333
2016,1,25,18,0.753751275666667
2016,1,25,21,0.844715777666667
2016,1,26,24,0.795969351666667
2016,1,26,3,0.725101538666667
2016,1,26,6,0.608690991333333
2016,1,26,9,0.551768472666667
2016,1,26,12,0.466734848666667
2016,1,26,15,0.489974650333333
2016,1,26,18,0.763791570666667
2016,1,26,21,0.827629207333333
2016,1,27,24,0.778590256333333
2016,1,27,3,0.719589928333333
2016,1,27,6,0.569827381
2016,1,27,9,0.493341826666667
2016,1,27,12,0.3795241
2016,1,27,15,0.384281904666667
2016,1,27,18,0.658334881333333
2016,1,27,21,0.739158797666667
2016,1,28,24,0.714855939666667
2016,1,28,3,0.687950271333333
2016,1,28,6,0.533424787666667
2016,1,28,9,0.474080487666667
2016,1,28,12,0.317179066666667
2016,1,28,15,0.307506608666667
2016,1,28,18,0.653802929
2016,1,28,21,0.777560035333333
2016,1,29,24,0.730807806333333
2016,1,29,3,0.661341760666667
2016,1,29,6,0.518739256
2016,1,29,9,0.479520287333333
2016,1,29,12,0.385455257
2016,1,29,15,0.398142727666667
2016,1,29,18,0.682947885666667
2016,1,29,21,0.818724225666667
2016,1,30,24,0.785107265
2016,1,30,3,0.719012624666667
2016,1,30,6,0.548409596333333
2016,1,30,9,0.426069145
2016,1,30,12,0.309873048666667
2016,1,30,15,0.330398244
2016,1,30,18,0.745775336
2016,1,30,21,0.886838754
2016,1,31,24,0.82452601
2016,1,31,3,0.730148979666667
2016,1,31,6,0.522192212666667
2016,1,31,9,0.393276523333333
2016,1,31,12,0.360015845666667
2016,1,31,15,0.371170747
2016,1,31,18,0.714068954333333
2016,1,31,21,0.880877180666667
2016,2,1,24,0.851155388
2016,2,1,3,0.763637007
2016,2,1,6,0.551759701666667
2016,2,1,9,0.434483827666667
2016,2,1,12,0.475394350333333
2016,2,1,15,0.535494199666667
2016,2,1,18,0.905469409
2016,2,1,21,0.924110925
2016,2,2,24,0.852329124666667
2016,2,2,3,0.784675000333333
2016,2,2,6,0.607671831
2016,2,2,9,0.551666154333333
2016,2,2,12,0.477489319333333
2016,2,2,15,0.50610173
2016,2,2,18,0.819082658333333
2016,2,2,21,0.898319379
2016,2,3,24,0.843786409666667
2016,2,3,3,0.758589003
2016,2,3,6,0.555532005666667
2016,2,3,9,0.391360049666667
2016,2,3,12,0.266249669666667
2016,2,3,15,0.228451485
2016,2,3,18,0.504821393666667
2016,2,3,21,0.708409229333333
2016,2,4,24,0.706890220333333
2016,2,4,3,0.645556631333333
