BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,1,21,153860149
2015,7,2,24,145113877
2015,7,2,3,119754776
2015,7,2,6,105822224
2015,7,2,9,111667248
2015,7,2,12,129852733
2015,7,2,15,146496734
2015,7,2,18,152918852
2015,7,2,21,147712381
2015,7,3,24,136247719
2015,7,3,3,114004652
2015,7,3,6,100379261
2015,7,3,9,100994467
2015,7,3,12,116522894
2015,7,3,15,134260131
2015,7,3,18,143588798
2015,7,3,21,141758323
2015,7,4,24,130658874
2015,7,4,3,110777692
2015,7,4,6,97430816
2015,7,4,9,95296336
2015,7,4,12,109848510
2015,7,4,15,129887942
2015,7,4,18,138483157
2015,7,4,21,136237119
2015,7,5,24,123431246
2015,7,5,3,108321537
2015,7,5,6,95749884
2015,7,5,9,93748541
2015,7,5,12,109967260
2015,7,5,15,134193626
2015,7,5,18,148400528
2015,7,5,21,150094331
2015,7,6,24,139798120
2015,7,6,3,117205489
2015,7,6,6,104367941
2015,7,6,9,111705738
2015,7,6,12,135855502
2015,7,6,15,160748309
2015,7,6,18,173856169
2015,7,6,21,171229145
2015,7,7,24,155807733
2015,7,7,3,127847730
2015,7,7,6,112271853
2015,7,7,9,119012743
2015,7,7,12,141371533
2015,7,7,15,162698291
2015,7,7,18,170249990
2015,7,7,21,165114441
2015,7,8,24,151312628
2015,7,8,3,125308791
2015,7,8,6,110939727
2015,7,8,9,117603764
2015,7,8,12,137879939
2015,7,8,15,157901830
2015,7,8,18,166912861
2015,7,8,21,162315790
2015,7,9,24,150288547
2015,7,9,3,125063718
2015,7,9,6,110738192
2015,7,9,9,117818171
2015,7,9,12,138832089
2015,7,9,15,159720190
2015,7,9,18,170423384
2015,7,9,21,168207380
2015,7,10,24,154377426
2015,7,10,3,127915245
2015,7,10,6,112056436
2015,7,10,9,117160815
2015,7,10,12,139281852
2015,7,10,15,161591930
2015,7,10,18,172903389
2015,7,10,21,169762999
2015,7,11,24,152709493
2015,7,11,3,126501092
2015,7,11,6,109311167
2015,7,11,9,107340237
2015,7,11,12,127692635
2015,7,11,15,153832007
2015,7,11,18,165603955
2015,7,11,21,164308426
2015,7,12,24,150249300
2015,7,12,3,126019401
2015,7,12,6,108798559
2015,7,12,9,105205252
2015,7,12,12,124239279
2015,7,12,15,151989166
2015,7,12,18,166846987
2015,7,12,21,168546469
2015,7,13,24,156939838
2015,7,13,3,130432478
2015,7,13,6,114862785
2015,7,13,9,121313550
2015,7,13,12,146644888
2015,7,13,15,173106817
2015,7,13,18,185511134
2015,7,13,21,183788431
2015,7,14,24,167974296
2015,7,14,3,137069382
2015,7,14,6,119836803
2015,7,14,9,126322146
2015,7,14,12,149306868
2015,7,14,15,171147244
2015,7,14,18,181566749
2015,7,14,21,178514319
2015,7,15,24,162099617
2015,7,15,3,133400988
2015,7,15,6,116832706
2015,7,15,9,122632425
2015,7,15,12,142927656
2015,7,15,15,162354154
2015,7,15,18,172793472
2015,7,15,21,169894748
2015,7,16,24,154500720
2015,7,16,3,126682183
2015,7,16,6,110663737
2015,7,16,9,116508634
2015,7,16,12,136578858
2015,7,16,15,156953972
2015,7,16,18,168842147
2015,7,16,21,168752800
2015,7,17,24,155410594
2015,7,17,3,128264556
2015,7,17,6,112487522
2015,7,17,9,118888440
2015,7,17,12,142293900
2015,7,17,15,168005971
2015,7,17,18,181033066
2015,7,17,21,177688618
2015,7,18,24,162109838
2015,7,18,3,134761130
2015,7,18,6,116700831
2015,7,18,9,114803977
2015,7,18,12,137207188
2015,7,18,15,164038998
2015,7,18,18,175881995
2015,7,18,21,175611052
2015,7,19,24,160877029
2015,7,19,3,135139844
2015,7,19,6,117196529
2015,7,19,9,113307166
2015,7,19,12,136082150
2015,7,19,15,166472942
2015,7,19,18,179524140
2015,7,19,21,179248149
2015,7,20,24,165291242
2015,7,20,3,137780118
2015,7,20,6,121677373
2015,7,20,9,128732617
2015,7,20,12,155171957
2015,7,20,15,182944937
2015,7,20,18,195263062
2015,7,20,21,191376097
2015,7,21,24,174130646
2015,7,21,3,142248595
2015,7,21,6,123816775
2015,7,21,9,129547339
2015,7,21,12,151780311
2015,7,21,15,174386066
2015,7,21,18,184282489
2015,7,21,21,179850230
2015,7,22,24,162251557
2015,7,22,3,132132718
2015,7,22,6,115202883
2015,7,22,9,120751346
2015,7,22,12,142210989
2015,7,22,15,164344266
2015,7,22,18,176845249
2015,7,22,21,173987539
2015,7,23,24,157834568
2015,7,23,3,129282579
2015,7,23,6,113413801
2015,7,23,9,120373010
2015,7,23,12,142370753
2015,7,23,15,164745822
2015,7,23,18,176798935
2015,7,23,21,174393891
2015,7,24,24,159059427
2015,7,24,3,130885017
2015,7,24,6,114717028
2015,7,24,9,120440273
2015,7,24,12,142687127
2015,7,24,15,165573795
2015,7,24,18,178428379
2015,7,24,21,175913291
2015,7,25,24,158695099
2015,7,25,3,130716041
2015,7,25,6,112539641
2015,7,25,9,110588145
2015,7,25,12,130573818
2015,7,25,15,157210528
2015,7,25,18,170784304
2015,7,25,21,169847677
2015,7,26,24,154718534
2015,7,26,3,128781329
2015,7,26,6,111245248
2015,7,26,9,107594900
2015,7,26,12,127156176
2015,7,26,15,155894303
2015,7,26,18,170897376
2015,7,26,21,171418566
2015,7,27,24,158926290
2015,7,27,3,132624125
2015,7,27,6,117117783
2015,7,27,9,124021086
2015,7,27,12,149118079
2015,7,27,15,177121114
2015,7,27,18,190625861
2015,7,27,21,188607733
2015,7,28,24,172145329
2015,7,28,3,141140467
2015,7,28,6,122459031
2015,7,28,9,128473158
2015,7,28,12,154986322
2015,7,28,15,184406414
2015,7,28,18,197547716
2015,7,28,21,193327971
2015,7,29,24,176151297
2015,7,29,3,144312280
2015,7,29,6,125217804
2015,7,29,9,131031152
2015,7,29,12,155479497
2015,7,29,15,183528215
2015,7,29,18,196147318
2015,7,29,21,191838479
2015,7,30,24,174562489
2015,7,30,3,142603963
2015,7,30,6,123978432
2015,7,30,9,129908007
2015,7,30,12,153521943
2015,7,30,15,179676458
2015,7,30,18,190692619
2015,7,30,21,185337110
2015,7,31,24,167734271
2015,7,31,3,136860275
2015,7,31,6,117666609
2015,7,31,9,122318449
2015,7,31,12,145715328
2015,7,31,15,169769309
2015,7,31,18,182457694
2015,7,31,21,178491099
2015,8,1,24,157729825
2015,8,1,3,128618788
2015,8,1,6,110125006
2015,8,1,9,108096782
2015,8,1,12,128621060
2015,8,1,15,154182958
2015,8,1,18,166349017
2015,8,1,21,166588790
2015,8,2,24,150526301
2015,8,2,3,123820182
2015,8,2,6,106817785
2015,8,2,9,103471696
2015,8,2,12,123265803
2015,8,2,15,152120788
2015,8,2,18,168521104
2015,8,2,21,171658086
2015,8,3,24,156824747
2015,8,3,3,128142524
2015,8,3,6,112170518
2015,8,3,9,119347162
2015,8,3,12,142907213
2015,8,3,15,168645407
2015,8,3,18,183304596
2015,8,3,21,181276120
2015,8,4,24,164208227
2015,8,4,3,133230624
2015,8,4,6,116140646
2015,8,4,9,122280716
2015,8,4,12,144923447
2015,8,4,15,171143963
2015,8,4,18,184288799
2015,8,4,21,180483861
2015,8,5,24,162805557
2015,8,5,3,132320750
2015,8,5,6,115508278
2015,8,5,9,121682168
2015,8,5,12,143305109
2015,8,5,15,167559868
2015,8,5,18,179920900
2015,8,5,21,174500022
2015,8,6,24,157844411
2015,8,6,3,129015801
2015,8,6,6,113221100
2015,8,6,9,120289342
2015,8,6,12,139328923
2015,8,6,15,158527006
2015,8,6,18,168324995
2015,8,6,21,164819268
2015,8,7,24,152262506
2015,8,7,3,126455156
2015,8,7,6,111695263
2015,8,7,9,118566640
2015,8,7,12,138131953
2015,8,7,15,157317542
2015,8,7,18,168634680
2015,8,7,21,165916922
2015,8,8,24,151514542
2015,8,8,3,125710600
2015,8,8,6,109637636
2015,8,8,9,108683342
2015,8,8,12,126034671
2015,8,8,15,148486089
2015,8,8,18,159733440
2015,8,8,21,158815616
2015,8,9,24,146415463
2015,8,9,3,122755087
2015,8,9,6,107142235
2015,8,9,9,104520638
2015,8,9,12,121958033
2015,8,9,15,147821414
2015,8,9,18,163300877
2015,8,9,21,165237608
2015,8,10,24,153684105
2015,8,10,3,127693897
2015,8,10,6,112979182
2015,8,10,9,121709301
2015,8,10,12,143314826
2015,8,10,15,165200128
2015,8,10,18,175759711
2015,8,10,21,172648347
2015,8,11,24,158621148
2015,8,11,3,129782694
2015,8,11,6,114562438
2015,8,11,9,122755845
2015,8,11,12,142570017
2015,8,11,15,164567759
