BEGIN_DATA,,,,
year,month,day,hour,solar_capacity
2016,1,1,24,0.368715723
2016,1,1,3,0.631387018
2016,1,1,6,0.660392157333333
2016,1,1,9,0.464663684333333
2016,1,1,12,0.0198095213333333
2016,1,1,15,0
2016,1,1,18,0
2016,1,1,21,0.00824063466666667
2016,1,2,24,0.196339429666667
2016,1,2,3,0.662065972
2016,1,2,6,0.670625417333333
2016,1,2,9,0.472611592666667
2016,1,2,12,0.0205011353333333
2016,1,2,15,0
2016,1,2,18,0
2016,1,2,21,0.00972180933333333
2016,1,3,24,0.20836309
2016,1,3,3,0.672246168333333
2016,1,3,6,0.682197982666667
2016,1,3,9,0.491289195333333
2016,1,3,12,0.023706396
2016,1,3,15,0
2016,1,3,18,0
2016,1,3,21,0.008348699
2016,1,4,24,0.209290715666667
2016,1,4,3,0.668211286333333
2016,1,4,6,0.672293130666667
2016,1,4,9,0.484273774
2016,1,4,12,0.0273692543333333
2016,1,4,15,0
2016,1,4,18,0
2016,1,4,21,0.00758682433333333
2016,1,5,24,0.203603826666667
2016,1,5,3,0.680061064333333
2016,1,5,6,0.680887397333333
2016,1,5,9,0.501983264
2016,1,5,12,0.026538299
2016,1,5,15,0
2016,1,5,18,0
2016,1,5,21,0.008505116
2016,1,6,24,0.220125983666667
2016,1,6,3,0.69734787
2016,1,6,6,0.693597541666667
2016,1,6,9,0.497167977333333
2016,1,6,12,0.0250069703333333
2016,1,6,15,0
2016,1,6,18,0
2016,1,6,21,0.00688362066666667
2016,1,7,24,0.19221228
2016,1,7,3,0.669640516333333
2016,1,7,6,0.680680145666667
2016,1,7,9,0.475897224
2016,1,7,12,0.0224743046666667
2016,1,7,15,0
2016,1,7,18,0
2016,1,7,21,0.005665648
2016,1,8,24,0.198556779
2016,1,8,3,0.672148891
2016,1,8,6,0.682590602666667
2016,1,8,9,0.468665359
2016,1,8,12,0.027411502
2016,1,8,15,0
2016,1,8,18,0
2016,1,8,21,0.00852838933333333
2016,1,9,24,0.182192753666667
2016,1,9,3,0.573752474666667
2016,1,9,6,0.598078918
2016,1,9,9,0.340035057333333
2016,1,9,12,0.013401046
2016,1,9,15,0
2016,1,9,18,0
2016,1,9,21,0.010123088
2016,1,10,24,0.189585159666667
2016,1,10,3,0.610968794333333
2016,1,10,6,0.650456058666667
2016,1,10,9,0.463873794666667
2016,1,10,12,0.024274076
2016,1,10,15,0
2016,1,10,18,0
2016,1,10,21,0.0117552936666667
2016,1,11,24,0.208663387666667
2016,1,11,3,0.647816154
2016,1,11,6,0.668885343333333
2016,1,11,9,0.448219969666667
2016,1,11,12,0.0242988026666667
2016,1,11,15,0
2016,1,11,18,0
2016,1,11,21,0.00920131633333333
2016,1,12,24,0.195779897666667
2016,1,12,3,0.628640266666667
2016,1,12,6,0.657728773666667
2016,1,12,9,0.421688704
2016,1,12,12,0.0251478956666667
2016,1,12,15,0
2016,1,12,18,0
2016,1,12,21,0.005989609
2016,1,13,24,0.185866634333333
2016,1,13,3,0.626870466333333
2016,1,13,6,0.652278992666667
2016,1,13,9,0.412064001666667
2016,1,13,12,0.021775086
2016,1,13,15,0
2016,1,13,18,0
2016,1,13,21,0.00894589366666667
2016,1,14,24,0.192941247333333
2016,1,14,3,0.639068142666667
2016,1,14,6,0.665943123666667
2016,1,14,9,0.443738667
2016,1,14,12,0.0259599346666667
2016,1,14,15,0
2016,1,14,18,0
2016,1,14,21,0.00938143966666667
2016,1,15,24,0.207160032
2016,1,15,3,0.656579474666667
2016,1,15,6,0.683475351666667
2016,1,15,9,0.476853723333333
2016,1,15,12,0.0275323516666667
2016,1,15,15,0
2016,1,15,18,0
2016,1,15,21,0.00898545833333333
2016,1,16,24,0.205060204666667
2016,1,16,3,0.665619981333333
2016,1,16,6,0.681472949333333
2016,1,16,9,0.485002666
2016,1,16,12,0.0293123003333333
2016,1,16,15,0
2016,1,16,18,0
2016,1,16,21,0.00845311833333333
2016,1,17,24,0.203385133333333
2016,1,17,3,0.675493068333333
2016,1,17,6,0.688610149666667
2016,1,17,9,0.491552203
2016,1,17,12,0.0264600226666667
2016,1,17,15,0
2016,1,17,18,0
2016,1,17,21,0.005901101
2016,1,18,24,0.186648255333333
2016,1,18,3,0.646429342666667
2016,1,18,6,0.644278178333333
2016,1,18,9,0.443565868333333
2016,1,18,12,0.0268470866666667
2016,1,18,15,0
2016,1,18,18,0
2016,1,18,21,0.00551313566666667
2016,1,19,24,0.178648442333333
2016,1,19,3,0.651178980333333
2016,1,19,6,0.650599633666667
2016,1,19,9,0.428387127333333
2016,1,19,12,0.023654868
2016,1,19,15,0
2016,1,19,18,0
2016,1,19,21,0.008886172
2016,1,20,24,0.16374824
2016,1,20,3,0.585245540333333
