BEGIN_DATA,,,,
year,month,day,hour,wind_capacity
2016,1,1,24,0.346234291
2016,1,1,3,0.269694155333333
2016,1,1,6,0.191009477
2016,1,1,9,0.172943313
2016,1,1,12,0.145360609
2016,1,1,15,0.0805461306666667
2016,1,1,18,0.080621119
2016,1,1,21,0.197479387333333
2016,1,2,24,0.293576285333333
2016,1,2,3,0.228028063333333
2016,1,2,6,0.148182156
2016,1,2,9,0.106635472333333
2016,1,2,12,0.0838415226666667
2016,1,2,15,0.0379590226666667
2016,1,2,18,0.0516230226666667
2016,1,2,21,0.154550441333333
2016,1,3,24,0.302276642
2016,1,3,3,0.250878335666667
2016,1,3,6,0.186027222666667
2016,1,3,9,0.168209345666667
2016,1,3,12,0.146423493
2016,1,3,15,0.0698346653333333
2016,1,3,18,0.074489681
2016,1,3,21,0.181524581333333
2016,1,4,24,0.298501362
2016,1,4,3,0.255249569333333
2016,1,4,6,0.189734488333333
2016,1,4,9,0.179887139333333
2016,1,4,12,0.154608234333333
2016,1,4,15,0.0813273103333333
2016,1,4,18,0.0833058126666667
2016,1,4,21,0.186517572666667
2016,1,5,24,0.249002583333333
2016,1,5,3,0.173159845
2016,1,5,6,0.118045061333333
2016,1,5,9,0.116627844
2016,1,5,12,0.119825925
2016,1,5,15,0.0886965043333333
2016,1,5,18,0.0808819223333333
2016,1,5,21,0.143577906
2016,1,6,24,0.186234053333333
2016,1,6,3,0.136363829
2016,1,6,6,0.104305955666667
2016,1,6,9,0.085986819
2016,1,6,12,0.071816758
2016,1,6,15,0.0466499136666667
2016,1,6,18,0.0623422916666667
2016,1,6,21,0.129874279666667
2016,1,7,24,0.156705168666667
2016,1,7,3,0.130700167
2016,1,7,6,0.126697568666667
2016,1,7,9,0.129277823666667
2016,1,7,12,0.149378838666667
2016,1,7,15,0.102373879666667
2016,1,7,18,0.0811555136666667
2016,1,7,21,0.0988372096666667
2016,1,8,24,0.114077970333333
2016,1,8,3,0.0951520273333333
2016,1,8,6,0.0948257733333333
2016,1,8,9,0.092998016
2016,1,8,12,0.100771147666667
2016,1,8,15,0.0829190633333333
2016,1,8,18,0.0705214133333333
2016,1,8,21,0.110389569666667
