BEGIN_DATA,,,,
year,month,day,hour,wind_capacity
2016,1,1,24,0.145554455
2016,1,1,3,0.118768667
2016,1,1,6,0.099891018
2016,1,1,9,0.104526114
2016,1,1,12,0.101188996333333
2016,1,1,15,0.188858453666667
2016,1,1,18,0.308564301
2016,1,1,21,0.411071041666667
2016,1,2,24,0.320485327333333
2016,1,2,3,0.260839778
2016,1,2,6,0.291001787666667
2016,1,2,9,0.271502021666667
2016,1,2,12,0.309921931
2016,1,2,15,0.452755042
2016,1,2,18,0.517214279333333
2016,1,2,21,0.551121371
2016,1,3,24,0.458158409666667
2016,1,3,3,0.334817704
2016,1,3,6,0.275579155
2016,1,3,9,0.191572331
2016,1,3,12,0.188382538
2016,1,3,15,0.242501274333333
2016,1,3,18,0.304912826666667
2016,1,3,21,0.360441086
2016,1,4,24,0.265563832
2016,1,4,3,0.225182805333333
2016,1,4,6,0.213153826
2016,1,4,9,0.206125024333333
2016,1,4,12,0.213328236666667
2016,1,4,15,0.287966500666667
2016,1,4,18,0.381386162333333
2016,1,4,21,0.425882092333333
2016,1,5,24,0.374383478333333
2016,1,5,3,0.327823863
2016,1,5,6,0.314534561333333
2016,1,5,9,0.315529736
2016,1,5,12,0.333217559666667
2016,1,5,15,0.377535663666667
2016,1,5,18,0.412481729
2016,1,5,21,0.424394482
2016,1,6,24,0.363972297333333
2016,1,6,3,0.294236111666667
2016,1,6,6,0.230269691333333
2016,1,6,9,0.216476065333333
2016,1,6,12,0.272132874666667
2016,1,6,15,0.301861272666667
2016,1,6,18,0.336958907333333
2016,1,6,21,0.348159734
2016,1,7,24,0.314895190666667
2016,1,7,3,0.296602543333333
2016,1,7,6,0.327660238333333
2016,1,7,9,0.327287034666667
2016,1,7,12,0.336334832
2016,1,7,15,0.408384109666667
2016,1,7,18,0.476605612333333
2016,1,7,21,0.506445904333333
2016,1,8,24,0.429126316333333
2016,1,8,3,0.342414252666667
2016,1,8,6,0.324412655
2016,1,8,9,0.310718424333333
2016,1,8,12,0.286182505
2016,1,8,15,0.249104754333333
2016,1,8,18,0.210614691
2016,1,8,21,0.188945471333333
2016,1,9,24,0.138594231333333
2016,1,9,3,0.127941454333333
2016,1,9,6,0.183362134666667
2016,1,9,9,0.235681095666667
2016,1,9,12,0.270824944
2016,1,9,15,0.332819324
2016,1,9,18,0.384159998
2016,1,9,21,0.430691947333333
2016,1,10,24,0.406763993333333
2016,1,10,3,0.344584527
2016,1,10,6,0.327402450333333
2016,1,10,9,0.311122184666667
2016,1,10,12,0.265863599333333
2016,1,10,15,0.248388314666667
2016,1,10,18,0.269719198
2016,1,10,21,0.340383383
2016,1,11,24,0.360262789
2016,1,11,3,0.332224098
2016,1,11,6,0.341289145666667
2016,1,11,9,0.357779741333333
2016,1,11,12,0.394667842333333
2016,1,11,15,0.503402169333333
2016,1,11,18,0.652824605
2016,1,11,21,0.718109316
2016,1,12,24,0.604282213
2016,1,12,3,0.465277592
2016,1,12,6,0.445794640666667
2016,1,12,9,0.432105583
2016,1,12,12,0.433804409666667
2016,1,12,15,0.498299232
2016,1,12,18,0.588550637
2016,1,12,21,0.597424893
2016,1,13,24,0.426708162333333
2016,1,13,3,0.275524627666667
2016,1,13,6,0.232937462333333
2016,1,13,9,0.220086084
2016,1,13,12,0.201925724666667
2016,1,13,15,0.235083924333333
2016,1,13,18,0.278561848
2016,1,13,21,0.275694658
2016,1,14,24,0.215477281333333
2016,1,14,3,0.157675668666667
2016,1,14,6,0.121462264
2016,1,14,9,0.125740666666667
2016,1,14,12,0.127476635
2016,1,14,15,0.164201348333333
2016,1,14,18,0.193522675333333
2016,1,14,21,0.224147117
2016,1,15,24,0.166597893666667
2016,1,15,3,0.0870347673333333
2016,1,15,6,0.0527014
2016,1,15,9,0.0496471573333333
2016,1,15,12,0.0417370783333333
2016,1,15,15,0.081335594
2016,1,15,18,0.144132852666667
2016,1,15,21,0.19383172
2016,1,16,24,0.164266051
2016,1,16,3,0.096818311
2016,1,16,6,0.07620969
2016,1,16,9,0.0896528396666667
2016,1,16,12,0.109152228
2016,1,16,15,0.197979518333333
2016,1,16,18,0.312752590666667
2016,1,16,21,0.390608244
2016,1,17,24,0.271218660333333
2016,1,17,3,0.150852684666667
2016,1,17,6,0.116527630333333
2016,1,17,9,0.106613106333333
2016,1,17,12,0.0912299043333333
2016,1,17,15,0.115575723333333
2016,1,17,18,0.180826144666667
2016,1,17,21,0.257151219666667
2016,1,18,24,0.240876455666667
2016,1,18,3,0.189150804666667
2016,1,18,6,0.175452247333333
2016,1,18,9,0.177775892666667
2016,1,18,12,0.201539351333333
2016,1,18,15,0.203209292666667
2016,1,18,18,0.194269519
2016,1,18,21,0.18390333
2016,1,19,24,0.150630846333333
2016,1,19,3,0.115474771666667
2016,1,19,6,0.099304062
2016,1,19,9,0.087214626
2016,1,19,12,0.0831086143333333
2016,1,19,15,0.138547443333333
2016,1,19,18,0.172343836333333
2016,1,19,21,0.181191962333333
2016,1,20,24,0.152074774333333
2016,1,20,3,0.103748068
2016,1,20,6,0.0805768726666667
2016,1,20,9,0.0778017653333333
2016,1,20,12,0.103046296666667
2016,1,20,15,0.19318985
2016,1,20,18,0.223284446666667
2016,1,20,21,0.239205153
2016,1,21,24,0.237451577333333
2016,1,21,3,0.195936328333333
2016,1,21,6,0.167023827666667
2016,1,21,9,0.144807936333333
2016,1,21,12,0.130101009666667
2016,1,21,15,0.186284411333333
2016,1,21,18,0.245858256
2016,1,21,21,0.299134809
2016,1,22,24,0.246964783
2016,1,22,3,0.175608202
2016,1,22,6,0.150227252333333
2016,1,22,9,0.165057130333333
2016,1,22,12,0.232818405
2016,1,22,15,0.241102872666667
2016,1,22,18,0.197059797
2016,1,22,21,0.156849277
2016,1,23,24,0.0871872183333333
2016,1,23,3,0.0794133013333333
2016,1,23,6,0.166922401
2016,1,23,9,0.277148694666667
2016,1,23,12,0.384163555
2016,1,23,15,0.488168638333333
2016,1,23,18,0.539122570666667
2016,1,23,21,0.589294749
2016,1,24,24,0.573607258
2016,1,24,3,0.524520164
2016,1,24,6,0.554571955666667
2016,1,24,9,0.637127381
2016,1,24,12,0.724978091333333
2016,1,24,15,0.791563389666667
2016,1,24,18,0.852482665
2016,1,24,21,0.864372625333333
2016,1,25,24,0.666401133666667
2016,1,25,3,0.471839676333333
2016,1,25,6,0.416497592333333
2016,1,25,9,0.390959642333333
2016,1,25,12,0.364907973
2016,1,25,15,0.442776140666667
2016,1,25,18,0.580115495
2016,1,25,21,0.635903392
2016,1,26,24,0.440762842333333
2016,1,26,3,0.251498453666667
2016,1,26,6,0.208621493
2016,1,26,9,0.183883416666667
2016,1,26,12,0.155714739666667
2016,1,26,15,0.261620447333333
2016,1,26,18,0.348860106
2016,1,26,21,0.337684916333333
2016,1,27,24,0.236145197333333
2016,1,27,3,0.180996524666667
2016,1,27,6,0.196965352666667
2016,1,27,9,0.225825166
2016,1,27,12,0.220142264666667
2016,1,27,15,0.338491673666667
2016,1,27,18,0.385043696666667
2016,1,27,21,0.410159365666667
2016,1,28,24,0.265837025
2016,1,28,3,0.175756351
2016,1,28,6,0.179263169
2016,1,28,9,0.191831349
2016,1,28,12,0.193423414333333
2016,1,28,15,0.313817614333333
2016,1,28,18,0.427677009333333
2016,1,28,21,0.499166179666667
2016,1,29,24,0.403233209333333
2016,1,29,3,0.348079708333333
2016,1,29,6,0.287670421
2016,1,29,9,0.236289303333333
2016,1,29,12,0.279126721
2016,1,29,15,0.349625209666667
2016,1,29,18,0.359072882
2016,1,29,21,0.347559646666667
2016,1,30,24,0.256544344
2016,1,30,3,0.178286438666667
2016,1,30,6,0.186195417
2016,1,30,9,0.19048131
2016,1,30,12,0.220955504333333
2016,1,30,15,0.299858736
2016,1,30,18,0.334701347666667
2016,1,30,21,0.3675082
2016,1,31,24,0.376896343
2016,1,31,3,0.335211001333333
2016,1,31,6,0.287957662
2016,1,31,9,0.269811109666667
2016,1,31,12,0.238741888666667
2016,1,31,15,0.274689872333333
2016,1,31,18,0.250894952
2016,1,31,21,0.196564136333333
2016,2,1,24,0.159664407333333
2016,2,1,3,0.162156162666667
2016,2,1,6,0.148792362666667
2016,2,1,9,0.145565232
2016,2,1,12,0.141876255666667
2016,2,1,15,0.248834733
2016,2,1,18,0.249899902
2016,2,1,21,0.158450527
2016,2,2,24,0.115745323666667
2016,2,2,3,0.118572966666667
2016,2,2,6,0.164261842666667
2016,2,2,9,0.195193309666667
2016,2,2,12,0.197652203666667
2016,2,2,15,0.291979679333333
2016,2,2,18,0.344777507333333
2016,2,2,21,0.367183735333333
2016,2,3,24,0.279256131666667
2016,2,3,3,0.186419310333333
2016,2,3,6,0.156232129
2016,2,3,9,0.150929835333333
2016,2,3,12,0.155682536666667
2016,2,3,15,0.237990877333333
2016,2,3,18,0.359140885666667
2016,2,3,21,0.481682478
2016,2,4,24,0.424335035333333
2016,2,4,3,0.303793694333333
2016,2,4,6,0.238481428
2016,2,4,9,0.199437265333333
2016,2,4,12,0.146459727333333
2016,2,4,15,0.125557096333333
2016,2,4,18,0.165916777
2016,2,4,21,0.211058637
2016,2,5,24,0.185769189333333
2016,2,5,3,0.121605277333333
2016,2,5,6,0.101621843666667
2016,2,5,9,0.105048255333333
2016,2,5,12,0.109695407
2016,2,5,15,0.150986217333333
2016,2,5,18,0.160620479666667
2016,2,5,21,0.162377383333333
2016,2,6,24,0.165768723
2016,2,6,3,0.156813098666667
2016,2,6,6,0.096750428
2016,2,6,9,0.0794377573333333
2016,2,6,12,0.061855423
2016,2,6,15,0.0884188236666667
2016,2,6,18,0.100625738
2016,2,6,21,0.106486946333333
2016,2,7,24,0.105321491
2016,2,7,3,0.078102627
2016,2,7,6,0.0663746916666667
2016,2,7,9,0.0839338793333333
2016,2,7,12,0.10308377
2016,2,7,15,0.235067049
2016,2,7,18,0.414666576666667
2016,2,7,21,0.491368322666667
2016,2,8,24,0.360640589666667
2016,2,8,3,0.270999393333333
2016,2,8,6,0.274237988
2016,2,8,9,0.295315889333333
2016,2,8,12,0.283088854
2016,2,8,15,0.381357002
2016,2,8,18,0.559067270666667
2016,2,8,21,0.633999326
2016,2,9,24,0.540559800666667
2016,2,9,3,0.461181798
2016,2,9,6,0.458924263333333
2016,2,9,9,0.440060006333333
2016,2,9,12,0.396979534
2016,2,9,15,0.418886199666667
2016,2,9,18,0.432491714666667
2016,2,9,21,0.431839327
2016,2,10,24,0.403954064
2016,2,10,3,0.335404307666667
2016,2,10,6,0.298831356666667
2016,2,10,9,0.263939218666667
2016,2,10,12,0.242478955
2016,2,10,15,0.314305586
2016,2,10,18,0.395828269333333
2016,2,10,21,0.426217500666667
2016,2,11,24,0.389878718666667
2016,2,11,3,0.350170661
2016,2,11,6,0.342063941333333
2016,2,11,9,0.353764656333333
2016,2,11,12,0.341116975666667
2016,2,11,15,0.410747427666667
2016,2,11,18,0.461566120333333
2016,2,11,21,0.481649434333333
2016,2,12,24,0.358452423
2016,2,12,3,0.213913609666667
2016,2,12,6,0.174135459666667
2016,2,12,9,0.191421671
2016,2,12,12,0.24863675
2016,2,12,15,0.470668287666667
2016,2,12,18,0.594897716
2016,2,12,21,0.658222504333333
2016,2,13,24,0.546515264
2016,2,13,3,0.494776821666667
2016,2,13,6,0.525303835666667
2016,2,13,9,0.509008577666667
2016,2,13,12,0.491897981666667
2016,2,13,15,0.574335296666667
2016,2,13,18,0.611577214
2016,2,13,21,0.606676275333333
2016,2,14,24,0.427763752333333
2016,2,14,3,0.346567524
2016,2,14,6,0.363071943
2016,2,14,9,0.368773761
2016,2,14,12,0.345297625
2016,2,14,15,0.427392931333333
2016,2,14,18,0.483929971666667
2016,2,14,21,0.519292298
2016,2,15,24,0.420949546
2016,2,15,3,0.387306766666667
2016,2,15,6,0.388558540666667
2016,2,15,9,0.384160223666667
2016,2,15,12,0.330517374
2016,2,15,15,0.407526715333333
2016,2,15,18,0.501868352666667
2016,2,15,21,0.469382532333333
2016,2,16,24,0.465400988
2016,2,16,3,0.435857805333333
2016,2,16,6,0.422286863
2016,2,16,9,0.44702928
2016,2,16,12,0.47555822
2016,2,16,15,0.637488459333333
2016,2,16,18,0.717730009
2016,2,16,21,0.742435477666667
2016,2,17,24,0.554417987
2016,2,17,3,0.405411417333333
2016,2,17,6,0.397145594
2016,2,17,9,0.353911831333333
2016,2,17,12,0.271000957666667
2016,2,17,15,0.395494918
2016,2,17,18,0.488094427333333
