BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,2,12,62942788
2015,7,2,15,59364768
2015,7,2,18,48990590
2015,7,2,21,43290910
2015,7,3,24,45682056
2015,7,3,3,53121573
2015,7,3,6,59930482
2015,7,3,9,62557712
2015,7,3,12,60427792
2015,7,3,15,55737703
2015,7,3,18,46638267
2015,7,3,21,41064243
2015,7,4,24,41315918
2015,7,4,3,47668457
2015,7,4,6,54924599
2015,7,4,9,58740872
2015,7,4,12,57992041
2015,7,4,15,53451357
2015,7,4,18,45318147
2015,7,4,21,39858061
2015,7,5,24,38984865
2015,7,5,3,44938027
2015,7,5,6,53135976
2015,7,5,9,56652200
2015,7,5,12,55733367
2015,7,5,15,50494601
2015,7,5,18,44313356
2015,7,5,21,39170407
2015,7,6,24,38351676
2015,7,6,3,44986607
2015,7,6,6,54897392
2015,7,6,9,60709307
2015,7,6,12,61402227
2015,7,6,15,57190140
2015,7,6,18,47947700
2015,7,6,21,42695976
2015,7,7,24,45697802
2015,7,7,3,55577251
2015,7,7,6,65760672
2015,7,7,9,71122978
2015,7,7,12,70048287
2015,7,7,15,63739527
2015,7,7,18,52301344
2015,7,7,21,45929394
2015,7,8,24,48687031
2015,7,8,3,57833809
2015,7,8,6,66558392
2015,7,8,9,69647723
2015,7,8,12,67546817
2015,7,8,15,61900621
2015,7,8,18,51262687
2015,7,8,21,45384434
2015,7,9,24,48110631
2015,7,9,3,56405430
2015,7,9,6,64596203
2015,7,9,9,68282534
2015,7,9,12,66401914
2015,7,9,15,61481678
2015,7,9,18,51162430
2015,7,9,21,45301988
2015,7,10,24,48198343
2015,7,10,3,56794945
2015,7,10,6,65340078
2015,7,10,9,69718657
2015,7,10,12,68812110
2015,7,10,15,63154402
2015,7,10,18,52328964
2015,7,10,21,45841269
2015,7,11,24,47929424
2015,7,11,3,56978939
2015,7,11,6,66105789
2015,7,11,9,70733205
2015,7,11,12,69448500
2015,7,11,15,62472065
2015,7,11,18,51750447
2015,7,11,21,44718205
2015,7,12,24,43911915
2015,7,12,3,52237896
2015,7,12,6,62931276
2015,7,12,9,67747073
2015,7,12,12,67217084
2015,7,12,15,61465623
2015,7,12,18,51553391
2015,7,12,21,44508501
2015,7,13,24,43038512
2015,7,13,3,50825160
2015,7,13,6,62177386
2015,7,13,9,68255585
2015,7,13,12,68950828
2015,7,13,15,64202661
2015,7,13,18,53358741
2015,7,13,21,46989321
2015,7,14,24,49628270
2015,7,14,3,59991091
2015,7,14,6,70816425
2015,7,14,9,75890918
2015,7,14,12,75186176
2015,7,14,15,68716758
2015,7,14,18,56073838
2015,7,14,21,49024147
2015,7,15,24,51677241
2015,7,15,3,61080082
2015,7,15,6,70014782
2015,7,15,9,74277307
2015,7,15,12,73028585
2015,7,15,15,66313479
2015,7,15,18,54573132
2015,7,15,21,47795198
2015,7,16,24,50167810
2015,7,16,3,58470405
2015,7,16,6,66417608
2015,7,16,9,70688239
2015,7,16,12,69502397
2015,7,16,15,63204840
2015,7,16,18,51824529
2015,7,16,21,45271529
2015,7,17,24,47662623
2015,7,17,3,55873169
2015,7,17,6,64208443
2015,7,17,9,69071787
2015,7,17,12,69035236
2015,7,17,15,63577061
2015,7,17,18,52471864
2015,7,17,21,46017623
2015,7,18,24,48636180
2015,7,18,3,58211141
2015,7,18,6,68729716
2015,7,18,9,74058982
2015,7,18,12,72690798
2015,7,18,15,66317661
2015,7,18,18,55129553
2015,7,18,21,47741249
2015,7,19,24,46965264
2015,7,19,3,56130213
2015,7,19,6,67106863
2015,7,19,9,71951725
2015,7,19,12,71840885
2015,7,19,15,65813330
2015,7,19,18,55284482
2015,7,19,21,47944035
2015,7,20,24,46352931
2015,7,20,3,55669971
2015,7,20,6,68102567
2015,7,20,9,73441694
2015,7,20,12,73328788
2015,7,20,15,67619144
2015,7,20,18,56364594
2015,7,20,21,49777107
2015,7,21,24,52663343
2015,7,21,3,63479437
2015,7,21,6,74841110
2015,7,21,9,79880344
2015,7,21,12,78290221
2015,7,21,15,71235264
2015,7,21,18,58192607
2015,7,21,21,50652317
2015,7,22,24,52996639
2015,7,22,3,62091945
2015,7,22,6,71339754
2015,7,22,9,75388291
2015,7,22,12,73575094
2015,7,22,15,66375637
2015,7,22,18,54054294
2015,7,22,21,47128452
2015,7,23,24,49398278
2015,7,23,3,58177223
2015,7,23,6,67231745
2015,7,23,9,72345784
2015,7,23,12,71176721
2015,7,23,15,64568687
2015,7,23,18,52888328
2015,7,23,21,46396555
2015,7,24,24,49243504
2015,7,24,3,58242581
2015,7,24,6,67396018
2015,7,24,9,72326837
2015,7,24,12,71342955
2015,7,24,15,65069766
2015,7,24,18,53543871
2015,7,24,21,46929693
2015,7,25,24,49271021
2015,7,25,3,58372006
2015,7,25,6,67734734
2015,7,25,9,72993428
2015,7,25,12,71964528
2015,7,25,15,64920722
2015,7,25,18,53474744
2015,7,25,21,46038944
2015,7,26,24,45240605
2015,7,26,3,53416562
2015,7,26,6,64313398
2015,7,26,9,69866306
2015,7,26,12,69483141
2015,7,26,15,63293946
2015,7,26,18,52683271
2015,7,26,21,45509420
2015,7,27,24,44016096
2015,7,27,3,52018435
2015,7,27,6,63774942
2015,7,27,9,69912563
2015,7,27,12,70125777
2015,7,27,15,65015300
2015,7,27,18,54255324
