BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,2,24,34968216
2015,7,2,3,32980427
2015,7,2,6,27216994
2015,7,2,9,24050505
2015,7,2,12,25378920
2015,7,2,15,29511985
2015,7,2,18,33294712
2015,7,2,21,34754285
2015,7,3,24,33570996
2015,7,3,3,30965391
2015,7,3,6,25910148
2015,7,3,9,22813468
2015,7,3,12,22953288
2015,7,3,15,26482476
2015,7,3,18,30513666
2015,7,3,21,32633818
2015,7,4,24,32217801
2015,7,4,3,29695199
2015,7,4,6,25176748
2015,7,4,9,22143367
2015,7,4,12,21658258
2015,7,4,15,24965570
2015,7,4,18,29519987
2015,7,4,21,31473445
2015,7,5,24,30962982
2015,7,5,3,28052556
2015,7,5,6,24618531
2015,7,5,9,21761337
2015,7,5,12,21306487
2015,7,5,15,24992559
2015,7,5,18,30498551
2015,7,5,21,33727393
2015,7,6,24,34112348
2015,7,6,3,31772300
2015,7,6,6,26637611
2015,7,6,9,23719986
2015,7,6,12,25387668
2015,7,6,15,30876250
2015,7,6,18,36533707
2015,7,6,21,39512766
2015,7,7,24,38915715
2015,7,7,3,35410848
2015,7,7,6,29056302
2015,7,7,9,25516330
2015,7,7,12,27048351
2015,7,7,15,32129894
2015,7,7,18,36976884
2015,7,7,21,38693180
2015,7,8,24,37526009
2015,7,8,3,34389234
2015,7,8,6,28479271
2015,7,8,9,25213574
2015,7,8,12,26728128
2015,7,8,15,31336350
2015,7,8,18,35886780
2015,7,8,21,37934741
2015,7,9,24,36889952
2015,7,9,3,34156488
2015,7,9,6,28423572
2015,7,9,9,25167771
2015,7,9,12,26776857
2015,7,9,15,31552747
2015,7,9,18,36300043
2015,7,9,21,38732587
2015,7,10,24,38228950
2015,7,10,3,35085779
2015,7,10,6,29071647
2015,7,10,9,25467372
2015,7,10,12,26627458
2015,7,10,15,31654966
2015,7,10,18,36725439
2015,7,10,21,39296225
2015,7,11,24,38582500
2015,7,11,3,34706703
2015,7,11,6,28750248
2015,7,11,9,24843447
2015,7,11,12,24395508
2015,7,11,15,29021053
2015,7,11,18,34961820
2015,7,11,21,37637263
2015,7,12,24,37342824
2015,7,12,3,34147568
2015,7,12,6,28640773
2015,7,12,9,24726945
2015,7,12,12,23910284
2015,7,12,15,28236200
2015,7,12,18,34542992
2015,7,12,21,37919770
2015,7,13,24,38306016
2015,7,13,3,35668145
2015,7,13,6,29643745
2015,7,13,9,26105178
2015,7,13,12,27571261
2015,7,13,15,33328384
2015,7,13,18,39342458
2015,7,13,21,42161621
2015,7,14,24,41770098
2015,7,14,3,38175976
2015,7,14,6,31152132
2015,7,14,9,27235637
2015,7,14,12,28709579
2015,7,14,15,33933379
2015,7,14,18,38897101
2015,7,14,21,41265170
2015,7,15,24,40571436
2015,7,15,3,36840822
2015,7,15,6,30318406
2015,7,15,9,26552888
2015,7,15,12,27871006
2015,7,15,15,32483558
2015,7,15,18,36898671
2015,7,15,21,39271244
2015,7,16,24,38612443
2015,7,16,3,35113800
2015,7,16,6,28791405
2015,7,16,9,25150849
2015,7,16,12,26479235
2015,7,16,15,31040650
2015,7,16,18,35671357
2015,7,16,21,38373215
2015,7,17,24,38352909
2015,7,17,3,35320589
2015,7,17,6,29151035
2015,7,17,9,25565346
2015,7,17,12,27020100
2015,7,17,15,32339523
2015,7,17,18,38183175
2015,7,17,21,41143879
