BEGIN_DATA,,,,
year,month,day,hour,solar_capacity
2016,1,1,24,0.002198749
2016,1,1,3,0
2016,1,1,6,0
2016,1,1,9,0
2016,1,1,12,0
2016,1,1,15,0.154940914333333
2016,1,1,18,0.612189771
2016,1,1,21,0.588086243333333
2016,1,2,24,0.303781776
2016,1,2,3,0
2016,1,2,6,0
2016,1,2,9,0
2016,1,2,12,0
2016,1,2,15,0.107715689
2016,1,2,18,0.488354758666667
2016,1,2,21,0.503866551666667
2016,1,3,24,0.233236334
2016,1,3,3,0
2016,1,3,6,0
2016,1,3,9,0
2016,1,3,12,0
2016,1,3,15,0.118861105666667
2016,1,3,18,0.500439131
2016,1,3,21,0.471295970666667
2016,1,4,24,0.185812957
2016,1,4,3,0
2016,1,4,6,0
2016,1,4,9,0
2016,1,4,12,0
2016,1,4,15,0.0676970933333333
2016,1,4,18,0.325172631
2016,1,4,21,0.332000259666667
2016,1,5,24,0.118622057666667
2016,1,5,3,0
2016,1,5,6,0
2016,1,5,9,0
2016,1,5,12,0
2016,1,5,15,0.065355436
2016,1,5,18,0.367646516333333
2016,1,5,21,0.397926048
2016,1,6,24,0.143431273666667
2016,1,6,3,0
2016,1,6,6,0
2016,1,6,9,0
2016,1,6,12,0
2016,1,6,15,0.0596127406666667
2016,1,6,18,0.374145567666667
2016,1,6,21,0.422851881
2016,1,7,24,0.183945805333333
2016,1,7,3,0
2016,1,7,6,0
2016,1,7,9,0
2016,1,7,12,0
2016,1,7,15,0.0606963973333333
2016,1,7,18,0.339928247666667
2016,1,7,21,0.344442635333333
2016,1,8,24,0.132110040333333
2016,1,8,3,0
2016,1,8,6,0
2016,1,8,9,0
2016,1,8,12,0
2016,1,8,15,0.0873859013333333
2016,1,8,18,0.479231890666667
2016,1,8,21,0.46713423
2016,1,9,24,0.238002995333333
2016,1,9,3,0
2016,1,9,6,0
2016,1,9,9,0
2016,1,9,12,0
2016,1,9,15,0.168216147666667
2016,1,9,18,0.608195248666667
2016,1,9,21,0.581467863333333
2016,1,10,24,0.280551311
2016,1,10,3,0
2016,1,10,6,0
2016,1,10,9,0
2016,1,10,12,0
2016,1,10,15,0.115680562333333
2016,1,10,18,0.495761869
2016,1,10,21,0.512162904
2016,1,11,24,0.246877342666667
2016,1,11,3,0
2016,1,11,6,0
2016,1,11,9,0
2016,1,11,12,0
2016,1,11,15,0.187572071666667
2016,1,11,18,0.634576320666667
2016,1,11,21,0.607626895333333
2016,1,12,24,0.298288677666667
2016,1,12,3,0
2016,1,12,6,0
2016,1,12,9,0
2016,1,12,12,0
2016,1,12,15,0.207744877
2016,1,12,18,0.660614993
2016,1,12,21,0.624205098333333
2016,1,13,24,0.31772853
2016,1,13,3,0
2016,1,13,6,0
2016,1,13,9,0
2016,1,13,12,0
2016,1,13,15,0.172050784666667
2016,1,13,18,0.602130819666667
2016,1,13,21,0.580795236
2016,1,14,24,0.277623341
2016,1,14,3,0
2016,1,14,6,0
2016,1,14,9,0
2016,1,14,12,0
2016,1,14,15,0.193108384
2016,1,14,18,0.622189673666667
2016,1,14,21,0.595901027
2016,1,15,24,0.295200976666667
2016,1,15,3,0
2016,1,15,6,0
2016,1,15,9,0
2016,1,15,12,0
2016,1,15,15,0.132275605666667
2016,1,15,18,0.461172658
2016,1,15,21,0.480140554666667
2016,1,16,24,0.249186517
2016,1,16,3,0
2016,1,16,6,0
2016,1,16,9,0
2016,1,16,12,0
2016,1,16,15,0.134141728
2016,1,16,18,0.515552127
2016,1,16,21,0.499372002
2016,1,17,24,0.206161354333333
2016,1,17,3,0
2016,1,17,6,0
2016,1,17,9,0
2016,1,17,12,0
2016,1,17,15,0.137134986666667
2016,1,17,18,0.580859364
2016,1,17,21,0.571646843
2016,1,18,24,0.285329949666667
2016,1,18,3,0
2016,1,18,6,0
2016,1,18,9,0
2016,1,18,12,0
2016,1,18,15,0.119437325
2016,1,18,18,0.469798728666667
2016,1,18,21,0.478736474
2016,1,19,24,0.209645015333333
2016,1,19,3,0
2016,1,19,6,0
2016,1,19,9,0
2016,1,19,12,0
2016,1,19,15,0.130358289666667
2016,1,19,18,0.459293789333333
2016,1,19,21,0.446234337333333
2016,1,20,24,0.188520846
2016,1,20,3,0
2016,1,20,6,0
2016,1,20,9,0
2016,1,20,12,0
2016,1,20,15,0.149759967333333
2016,1,20,18,0.585741108666667
2016,1,20,21,0.601833423666667
2016,1,21,24,0.33416096
2016,1,21,3,0
2016,1,21,6,0
2016,1,21,9,0
2016,1,21,12,0
2016,1,21,15,0.189882894666667
2016,1,21,18,0.630171629333333
2016,1,21,21,0.594030527666667
2016,1,22,24,0.294301705666667
2016,1,22,3,0
2016,1,22,6,0
2016,1,22,9,0
2016,1,22,12,0
2016,1,22,15,0.165172113666667
2016,1,22,18,0.570583115666667
2016,1,22,21,0.554480187666667
2016,1,23,24,0.260616852666667
2016,1,23,3,0
2016,1,23,6,0
2016,1,23,9,0
2016,1,23,12,0
2016,1,23,15,0.119491453333333
2016,1,23,18,0.456720645
2016,1,23,21,0.458667170333333
2016,1,24,24,0.206547567333333
2016,1,24,3,0
2016,1,24,6,0
2016,1,24,9,0
2016,1,24,12,0
2016,1,24,15,0.171095645666667
2016,1,24,18,0.606063057
2016,1,24,21,0.575037312
2016,1,25,24,0.310485277
2016,1,25,3,0
2016,1,25,6,0
2016,1,25,9,0
2016,1,25,12,0
2016,1,25,15,0.206656195
2016,1,25,18,0.647241687
2016,1,25,21,0.623222038666667
2016,1,26,24,0.341297713
2016,1,26,3,0
2016,1,26,6,0
2016,1,26,9,0
2016,1,26,12,0
2016,1,26,15,0.214477616
2016,1,26,18,0.689676757666667
2016,1,26,21,0.657013022666667
2016,1,27,24,0.37550987
2016,1,27,3,0
2016,1,27,6,0
2016,1,27,9,0
2016,1,27,12,0
2016,1,27,15,0.201712726
2016,1,27,18,0.639955955666667
2016,1,27,21,0.608169981333333
2016,1,28,24,0.307035533333333
2016,1,28,3,0
2016,1,28,6,0
2016,1,28,9,0
2016,1,28,12,0
2016,1,28,15,0.190112519333333
2016,1,28,18,0.661330479666667
2016,1,28,21,0.633238167333333
2016,1,29,24,0.343324747333333
2016,1,29,3,0
2016,1,29,6,0
2016,1,29,9,0
2016,1,29,12,0
2016,1,29,15,0.183835018333333
2016,1,29,18,0.601199076333333
2016,1,29,21,0.587499783
2016,1,30,24,0.298014185333333
2016,1,30,3,0
2016,1,30,6,0
2016,1,30,9,0
2016,1,30,12,0
2016,1,30,15,0.183584227
2016,1,30,18,0.588910333
2016,1,30,21,0.583416347333333
2016,1,31,24,0.313699423333333
2016,1,31,3,0
2016,1,31,6,0
2016,1,31,9,0
2016,1,31,12,0
2016,1,31,15,0.148723364333333
2016,1,31,18,0.487291291
2016,1,31,21,0.452212335
2016,2,1,24,0.202296110333333
2016,2,1,3,0
2016,2,1,6,0
2016,2,1,9,0
2016,2,1,12,0
2016,2,1,15,0.118200559333333
2016,2,1,18,0.502514189
2016,2,1,21,0.536364943
2016,2,2,24,0.294068106666667
2016,2,2,3,0
2016,2,2,6,0
2016,2,2,9,0
2016,2,2,12,0
2016,2,2,15,0.213705010333333
2016,2,2,18,0.672304399
2016,2,2,21,0.639122658333333
2016,2,3,24,0.351633169333333
2016,2,3,3,0
2016,2,3,6,0
2016,2,3,9,0
2016,2,3,12,0
2016,2,3,15,0.294494676
2016,2,3,18,0.733643499666667
2016,2,3,21,0.698514545
2016,2,4,24,0.411799616333333
2016,2,4,3,0
2016,2,4,6,0
2016,2,4,9,0
2016,2,4,12,0
2016,2,4,15,0.209132395666667
2016,2,4,18,0.647564806666667
2016,2,4,21,0.607274117666667
2016,2,5,24,0.347977780666667
2016,2,5,3,0
2016,2,5,6,0
2016,2,5,9,0
2016,2,5,12,0
2016,2,5,15,0.248748701333333
2016,2,5,18,0.729927908
2016,2,5,21,0.703522416
2016,2,6,24,0.397842854
2016,2,6,3,0
2016,2,6,6,0
2016,2,6,9,0
2016,2,6,12,0
2016,2,6,15,0.257723231333333
2016,2,6,18,0.728035679333333
2016,2,6,21,0.695511636666667
2016,2,7,24,0.397935510333333
2016,2,7,3,0
2016,2,7,6,0
2016,2,7,9,0
2016,2,7,12,0
2016,2,7,15,0.242322793333333
2016,2,7,18,0.706918519
2016,2,7,21,0.665135437333333
2016,2,8,24,0.384684556333333
2016,2,8,3,0
2016,2,8,6,0
2016,2,8,9,0
2016,2,8,12,0
2016,2,8,15,0.224125357333333
2016,2,8,18,0.678659339333333
2016,2,8,21,0.656294941
2016,2,9,24,0.373508739666667
2016,2,9,3,0
2016,2,9,6,0
2016,2,9,9,0
2016,2,9,12,0
2016,2,9,15,0.268072195666667
2016,2,9,18,0.721770757666667
2016,2,9,21,0.689346850333333
2016,2,10,24,0.397479909666667
2016,2,10,3,0
2016,2,10,6,0
2016,2,10,9,0
2016,2,10,12,0
2016,2,10,15,0.263895065
2016,2,10,18,0.714219366
2016,2,10,21,0.68344298
2016,2,11,24,0.399971702666667
2016,2,11,3,0
2016,2,11,6,0
2016,2,11,9,0
2016,2,11,12,0
2016,2,11,15,0.265874263
2016,2,11,18,0.705571594
2016,2,11,21,0.680034858666667
2016,2,12,24,0.388924469666667
2016,2,12,3,0
2016,2,12,6,0
2016,2,12,9,0
2016,2,12,12,0
2016,2,12,15,0.254322816333333
2016,2,12,18,0.695161244666667
2016,2,12,21,0.674734961666667
2016,2,13,24,0.422751919666667
2016,2,13,3,1.01666666666667e-08
2016,2,13,6,0
2016,2,13,9,0
2016,2,13,12,0
2016,2,13,15,0.236454006
2016,2,13,18,0.679007272333333
2016,2,13,21,0.665123651333333
2016,2,14,24,0.420889712
2016,2,14,3,4.6e-07
2016,2,14,6,0
2016,2,14,9,0
2016,2,14,12,0
2016,2,14,15,0.238735251666667
2016,2,14,18,0.68850869
2016,2,14,21,0.674486361333333
2016,2,15,24,0.398066558333333
2016,2,15,3,6.9e-07
2016,2,15,6,0
2016,2,15,9,0
2016,2,15,12,0
2016,2,15,15,0.26502264
2016,2,15,18,0.710595636666667
2016,2,15,21,0.690523462
2016,2,16,24,0.446312105
2016,2,16,3,2.12666666666667e-06
2016,2,16,6,0
2016,2,16,9,0
2016,2,16,12,0
2016,2,16,15,0.276773168666667
2016,2,16,18,0.730256537666667
2016,2,16,21,0.700261541
2016,2,17,24,0.445428409
2016,2,17,3,3.43333333333333e-06
2016,2,17,6,0
2016,2,17,9,0
2016,2,17,12,0
2016,2,17,15,0.258078746
2016,2,17,18,0.655931118333333
2016,2,17,21,0.623241374333333
2016,2,18,24,0.341635150666667
2016,2,18,3,0
2016,2,18,6,0
2016,2,18,9,0
2016,2,18,12,0
2016,2,18,15,0.214142203
2016,2,18,18,0.616570314666667
2016,2,18,21,0.647635233
2016,2,19,24,0.422641705333333
2016,2,19,3,8.3e-06
2016,2,19,6,0
2016,2,19,9,0
2016,2,19,12,0
2016,2,19,15,0.211248545666667
2016,2,19,18,0.614767340666667
2016,2,19,21,0.610033695
2016,2,20,24,0.379492762
2016,2,20,3,7.76666666666667e-06
2016,2,20,6,0
2016,2,20,9,0
2016,2,20,12,0
2016,2,20,15,0.248780865666667
2016,2,20,18,0.689713342333333
2016,2,20,21,0.661438594666667
2016,2,21,24,0.398540082666667
2016,2,21,3,8.2e-06
2016,2,21,6,0
2016,2,21,9,0
2016,2,21,12,0
2016,2,21,15,0.257980243666667
2016,2,21,18,0.713272336666667
2016,2,21,21,0.710058912666667
2016,2,22,24,0.482697178333333
2016,2,22,3,1.10666666666667e-05
2016,2,22,6,0
2016,2,22,9,0
2016,2,22,12,0
2016,2,22,15,0.282711414
2016,2,22,18,0.708235060666667
2016,2,22,21,0.677524614333333
2016,2,23,24,0.445053685333333
2016,2,23,3,1.30333333333333e-05
2016,2,23,6,0
2016,2,23,9,0
2016,2,23,12,0
2016,2,23,15,0.276312635666667
2016,2,23,18,0.708522426666667
2016,2,23,21,0.681800547666667
2016,2,24,24,0.430090592666667
2016,2,24,3,1.40666666666667e-05
2016,2,24,6,0
2016,2,24,9,0
2016,2,24,12,0
2016,2,24,15,0.317036338333333
2016,2,24,18,0.776472008
2016,2,24,21,0.746229027
2016,2,25,24,0.483233602666667
2016,2,25,3,2.42e-05
2016,2,25,6,0
2016,2,25,9,0
2016,2,25,12,0
2016,2,25,15,0.325725100333333
2016,2,25,18,0.767401879666667
2016,2,25,21,0.73545542
2016,2,26,24,0.490786133333333
2016,2,26,3,3.24666666666667e-05
2016,2,26,6,0
2016,2,26,9,0
2016,2,26,12,0
2016,2,26,15,0.327093095666667
2016,2,26,18,0.754849741
2016,2,26,21,0.723272058666667
2016,2,27,24,0.462558244
2016,2,27,3,2.47666666666667e-05
2016,2,27,6,0
2016,2,27,9,0
2016,2,27,12,0
2016,2,27,15,0.288279171333333
2016,2,27,18,0.711003952333333
2016,2,27,21,0.693659872
2016,2,28,24,0.467463018333333
2016,2,28,3,4.35926666666667e-05
2016,2,28,6,0
2016,2,28,9,0
2016,2,28,12,0
2016,2,28,15,0.321809115333333
2016,2,28,18,0.724774088666667
2016,2,28,21,0.68627504
2016,2,29,24,0.428338326666667
2016,2,29,3,4.37136666666667e-05
2016,2,29,6,0
2016,2,29,9,0
2016,2,29,12,0
2016,2,29,15,0.319874248666667
2016,2,29,18,0.746520717333333
2016,2,29,21,0.712002142333333
2016,3,1,24,0.497472052666667
2016,3,1,3,6.95373333333333e-05
2016,3,1,6,0
2016,3,1,9,0
2016,3,1,12,0
2016,3,1,15,0.28583613
2016,3,1,18,0.703176025
2016,3,1,21,0.701140973
2016,3,2,24,0.48669957
2016,3,2,3,8.81463333333333e-05
2016,3,2,6,0
2016,3,2,9,0
2016,3,2,12,0
2016,3,2,15,0.34669422
2016,3,2,18,0.771091335333333
2016,3,2,21,0.748019739666667
2016,3,3,24,0.526974208666667
2016,3,3,3,0.000111891666666667
2016,3,3,6,0
2016,3,3,9,0
2016,3,3,12,0
2016,3,3,15,0.271293570666667
2016,3,3,18,0.687331448666667
2016,3,3,21,0.665215637
2016,3,4,24,0.400936865666667
2016,3,4,3,0.000104145
2016,3,4,6,0
2016,3,4,9,0
2016,3,4,12,0
2016,3,4,15,0.290675457333333
2016,3,4,18,0.713384689666667
2016,3,4,21,0.687215908333333
2016,3,5,24,0.4309992
2016,3,5,3,0.000106431
2016,3,5,6,0
2016,3,5,9,0
2016,3,5,12,0
2016,3,5,15,0.210664287333333
2016,3,5,18,0.62317826
2016,3,5,21,0.617610976666667
2016,3,6,24,0.371396545333333
2016,3,6,3,0.000138079
2016,3,6,6,0
2016,3,6,9,0
2016,3,6,12,0
2016,3,6,15,0.206900711333333
2016,3,6,18,0.603114553
2016,3,6,21,0.617989931666667
2016,3,7,24,0.427828550666667
2016,3,7,3,0.000313596
2016,3,7,6,0
2016,3,7,9,0
2016,3,7,12,0
2016,3,7,15,0.289325026333333
2016,3,7,18,0.659926411333333
2016,3,7,21,0.637605615333333
2016,3,8,24,0.361716162666667
2016,3,8,3,0.000293972666666667
2016,3,8,6,0
2016,3,8,9,0
2016,3,8,12,0
2016,3,8,15,0.314420492333333
2016,3,8,18,0.735892992
2016,3,8,21,0.662263983
2016,3,9,24,0.410742666
2016,3,9,3,0.000449256
2016,3,9,6,0
2016,3,9,9,0
2016,3,9,12,0
2016,3,9,15,0.362059264333333
2016,3,9,18,0.790130351666667
2016,3,9,21,0.751717496666667
2016,3,10,24,0.498468402333333
2016,3,10,3,0.000733018
2016,3,10,6,0
2016,3,10,9,0
2016,3,10,12,0
2016,3,10,15,0.375633199666667
2016,3,10,18,0.805600891333333
2016,3,10,21,0.782383843333333
2016,3,11,24,0.543351823333333
2016,3,11,3,0.000863413333333333
2016,3,11,6,0
2016,3,11,9,0
2016,3,11,12,0
2016,3,11,15,0.291090664666667
2016,3,11,18,0.635410091
2016,3,11,21,0.628451092333333
2016,3,12,24,0.392750608333333
2016,3,12,3,0.000703273333333333
2016,3,12,6,0
2016,3,12,9,0
2016,3,12,12,0
2016,3,12,15,0.357449667666667
2016,3,12,18,0.776249380666667
2016,3,12,21,0.755083479333333
2016,3,13,24,0.541742005666667
2016,3,13,3,0.00124589333333333
2016,3,13,6,0
2016,3,13,9,0
2016,3,13,12,0
2016,3,13,15,0.352258528333333
2016,3,13,18,0.742697797333333
2016,3,13,21,0.702318946333333
2016,3,14,24,0.473267824666667
2016,3,14,3,0.000947531
