BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,2,9,68932828
2015,7,2,12,62718475
2015,7,2,15,51402014
2015,7,2,18,47903858
2015,7,2,21,53278779
2015,7,3,24,61858678
2015,7,3,3,68178921
2015,7,3,6,69350078
2015,7,3,9,65380179
2015,7,3,12,59208617
2015,7,3,15,48899545
2015,7,3,18,45104944
2015,7,3,21,47390126
2015,7,4,24,56100982
2015,7,4,3,62853734
2015,7,4,6,65770756
2015,7,4,9,62773312
2015,7,4,12,56967088
2015,7,4,15,47561982
2015,7,4,18,43585429
2015,7,4,21,44288169
2015,7,5,24,53513159
2015,7,5,3,60808382
2015,7,5,6,63387027
2015,7,5,9,60030383
2015,7,5,12,54225249
2015,7,5,15,46651420
2015,7,5,18,42906953
2015,7,5,21,43726596
2015,7,6,24,53957312
2015,7,6,3,63747948
2015,7,6,6,68494412
2015,7,6,9,66887534
2015,7,6,12,60796967
2015,7,6,15,50352923
2015,7,6,18,47422707
2015,7,6,21,53988976
2015,7,7,24,65726817
2015,7,7,3,75892886
2015,7,7,6,79522515
2015,7,7,9,75694815
2015,7,7,12,67218340
2015,7,7,15,54664985
2015,7,7,18,50806827
2015,7,7,21,57126325
2015,7,8,24,67935707
2015,7,8,3,75849119
2015,7,8,6,77272209
2015,7,8,9,73090301
2015,7,8,12,65389300
2015,7,8,15,53834386
2015,7,8,18,50244394
2015,7,8,21,56252991
2015,7,9,24,66009095
2015,7,9,3,73856712
2015,7,9,6,75781145
2015,7,9,9,72118419
2015,7,9,12,65107137
2015,7,9,15,53742721
2015,7,9,18,50182328
2015,7,9,21,56431329
2015,7,10,24,66614893
2015,7,10,3,74785974
2015,7,10,6,77923266
2015,7,10,9,74624902
2015,7,10,12,66732198
2015,7,10,15,54823877
2015,7,10,18,50496901
2015,7,10,21,56063238
2015,7,11,24,67159487
2015,7,11,3,75723210
2015,7,11,6,79055188
2015,7,11,9,74751615
2015,7,11,12,66039841
2015,7,11,15,53994425
2015,7,11,18,48685528
2015,7,11,21,50515314
2015,7,12,24,62584535
2015,7,12,3,72319874
2015,7,12,6,75925238
2015,7,12,9,72741483
2015,7,12,12,65308420
2015,7,12,15,53836451
2015,7,12,18,48330229
2015,7,12,21,49126928
2015,7,13,24,61167697
2015,7,13,3,72016831
2015,7,13,6,76785092
2015,7,13,9,75290070
2015,7,13,12,68109743
2015,7,13,15,55874632
2015,7,13,18,51877486
2015,7,13,21,58426948
2015,7,14,24,71051832
2015,7,14,3,81345933
2015,7,14,6,84875867
2015,7,14,9,81595687
2015,7,14,12,72292282
2015,7,14,15,58507541
2015,7,14,18,54165994
2015,7,14,21,60486066
2015,7,15,24,71593156
2015,7,15,3,80028848
2015,7,15,6,82863556
2015,7,15,9,79023524
2015,7,15,12,69865417
2015,7,15,15,57074068
2015,7,15,18,52704414
2015,7,15,21,58567943
2015,7,16,24,68241388
2015,7,16,3,75862714
2015,7,16,6,79013887
2015,7,16,9,75119361
2015,7,16,12,66619425
2015,7,16,15,54097103
2015,7,16,18,50008178
2015,7,16,21,55643578
2015,7,17,24,65467082
2015,7,17,3,73597781
2015,7,17,6,77595787
2015,7,17,9,74961272
2015,7,17,12,67239736
2015,7,17,15,54826057
2015,7,17,18,50863902
2015,7,17,21,56999555
2015,7,18,24,68989903
2015,7,18,3,79045264
2015,7,18,6,82781184
2015,7,18,9,78574208
2015,7,18,12,70130372
2015,7,18,15,57657668
2015,7,18,18,51951655
2015,7,18,21,54160430
2015,7,19,24,67076140
2015,7,19,3,76996643
2015,7,19,6,80660402
2015,7,19,9,78017798
2015,7,19,12,69828935
2015,7,19,15,57894228
2015,7,19,18,51990603
2015,7,19,21,53256006
2015,7,20,24,67072813
2015,7,20,3,78548281
2015,7,20,6,82235845
2015,7,20,9,79823836
2015,7,20,12,71480555
2015,7,20,15,59212748
2015,7,20,18,55075868
2015,7,20,21,61858678
2015,7,21,24,75190949
2015,7,21,3,85925187
2015,7,21,6,88966226
2015,7,21,9,84844490
2015,7,21,12,74870411
2015,7,21,15,60728764
2015,7,21,18,55835683
2015,7,21,21,61798276
2015,7,22,24,72844677
2015,7,22,3,81447005
