BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,2,6,13987286
2015,7,2,9,13192171
2015,7,2,12,10886798
2015,7,2,15,9620202
2015,7,2,18,10151568
2015,7,2,21,11804794
2015,7,3,24,13317885
2015,7,3,3,13901714
2015,7,3,6,13428398
2015,7,3,9,12386156
2015,7,3,12,10364059
2015,7,3,15,9125387
2015,7,3,18,9181315
2015,7,3,21,10592990
2015,7,4,24,12205466
2015,7,4,3,13053527
2015,7,4,6,12887120
2015,7,4,9,11878079
2015,7,4,12,10070699
2015,7,4,15,8857347
2015,7,4,18,8663303
2015,7,4,21,9986228
2015,7,5,24,11807995
2015,7,5,3,12589378
2015,7,5,6,12385193
2015,7,5,9,11221022
2015,7,5,12,9847412
2015,7,5,15,8704535
2015,7,5,18,8522595
2015,7,5,21,9997024
2015,7,6,24,12199421
2015,7,6,3,13490957
2015,7,6,6,13644939
2015,7,6,9,12708920
2015,7,6,12,10655044
2015,7,6,15,9487995
2015,7,6,18,10155067
2015,7,6,21,12350500
2015,7,7,24,14613483
2015,7,7,3,15805106
2015,7,7,6,15566286
2015,7,7,9,14164339
2015,7,7,12,11622521
2015,7,7,15,10206532
2015,7,7,18,10819340
2015,7,7,21,12851958
2015,7,8,24,14790754
2015,7,8,3,15477272
2015,7,8,6,15010404
2015,7,8,9,13755693
2015,7,8,12,11391708
2015,7,8,15,10085430
2015,7,8,18,10691251
2015,7,8,21,12534540
2015,7,9,24,14354712
2015,7,9,3,15173896
2015,7,9,6,14755981
2015,7,9,9,13662595
2015,7,9,12,11369429
2015,7,9,15,10067108
2015,7,9,18,10710743
2015,7,9,21,12621099
2015,7,10,24,14520017
2015,7,10,3,15493035
2015,7,10,6,15291580
2015,7,10,9,14034311
2015,7,10,12,11628659
2015,7,10,15,10186949
2015,7,10,18,10650983
2015,7,10,21,12661987
2015,7,11,24,14690175
2015,7,11,3,15718490
2015,7,11,6,15433000
2015,7,11,9,13882681
2015,7,11,12,11500099
2015,7,11,15,9937379
2015,7,11,18,9758203
2015,7,11,21,11608421
2015,7,12,24,13984728
2015,7,12,3,15054905
2015,7,12,6,14937130
2015,7,12,9,13659027
2015,7,12,12,11456309
2015,7,12,15,9890778
2015,7,12,18,9564114
2015,7,12,21,11294480
2015,7,13,24,13817197
2015,7,13,3,15167908
2015,7,13,6,15322406
2015,7,13,9,14267258
2015,7,13,12,11857498
2015,7,13,15,10442071
2015,7,13,18,11028505
2015,7,13,21,13331353
2015,7,14,24,15736983
2015,7,14,3,16864649
2015,7,14,6,16708039
2015,7,14,9,15270391
2015,7,14,12,12460853
2015,7,14,15,10894255
2015,7,14,18,11483831
2015,7,14,21,13573352
2015,7,15,24,15558840
2015,7,15,3,16506068
2015,7,15,6,16228574
2015,7,15,9,14736329
2015,7,15,12,12127363
2015,7,15,15,10621155
2015,7,15,18,11148402
2015,7,15,21,12993423
2015,7,16,24,14759469
2015,7,16,3,15708497
2015,7,16,6,15444977
2015,7,16,9,14045520
2015,7,16,12,11516562
2015,7,16,15,10060340
2015,7,16,18,10591694
2015,7,16,21,12416260
2015,7,17,24,14268543
2015,7,17,3,15349286
2015,7,17,6,15341164
2015,7,17,9,14128236
2015,7,17,12,11660414
2015,7,17,15,10226138
2015,7,17,18,10808040
2015,7,17,21,12935809
2015,7,18,24,15273270
2015,7,18,3,16457551
2015,7,18,6,16153511
2015,7,18,9,14737258
2015,7,18,12,12251012
2015,7,18,15,10609166
2015,7,18,18,10436725
2015,7,18,21,12473381
2015,7,19,24,14912636
2015,7,19,3,15989272
2015,7,19,6,15964641
2015,7,19,9,14625184
2015,7,19,12,12285440
2015,7,19,15,10654230
2015,7,19,18,10300651
2015,7,19,21,12371105
2015,7,20,24,15133904
2015,7,20,3,16320376
2015,7,20,6,16295286
2015,7,20,9,15026477
2015,7,20,12,12525465
2015,7,20,15,11061579
2015,7,20,18,11702965
2015,7,20,21,14106542
2015,7,21,24,16631358
2015,7,21,3,17751187
2015,7,21,6,17397827
2015,7,21,9,15830059
2015,7,21,12,12931690
2015,7,21,15,11256070
2015,7,21,18,11777031
2015,7,21,21,13798210
2015,7,22,24,15853279
2015,7,22,3,16752954
2015,7,22,6,16350021
2015,7,22,9,14750142
