BEGIN_DATA,,,,
year,month,day,hour,solar_capacity
2016,1,1,24,0
2016,1,1,3,0
2016,1,1,6,0
2016,1,1,9,0
2016,1,1,12,0.000282114333333333
2016,1,1,15,0.0477899626666667
2016,1,1,18,0.144682168333333
2016,1,1,21,0.0908055856666667
2016,1,2,24,6.67933333333333e-05
2016,1,2,3,0
2016,1,2,6,0
2016,1,2,9,0
2016,1,2,12,0.000308541666666667
2016,1,2,15,0.0561615426666667
2016,1,2,18,0.164480359
2016,1,2,21,0.103925199333333
2016,1,3,24,7.44323333333333e-05
2016,1,3,3,0
2016,1,3,6,0
2016,1,3,9,0
2016,1,3,12,0.000398473666666667
2016,1,3,15,0.102290719
2016,1,3,18,0.221386477333333
2016,1,3,21,0.128577155666667
2016,1,4,24,8.6905e-05
2016,1,4,3,0
2016,1,4,6,0
2016,1,4,9,0
2016,1,4,12,0.000609698333333333
2016,1,4,15,0.109914881
2016,1,4,18,0.186499593
2016,1,4,21,0.0902995726666667
2016,1,5,24,9.37633333333333e-05
2016,1,5,3,0
2016,1,5,6,0
2016,1,5,9,0
2016,1,5,12,0.000630942333333333
2016,1,5,15,0.069355605
2016,1,5,18,0.167619559666667
2016,1,5,21,0.0934604463333333
2016,1,6,24,9.3594e-05
2016,1,6,3,0
2016,1,6,6,0
2016,1,6,9,0
2016,1,6,12,0.000575691333333333
2016,1,6,15,0.062550549
2016,1,6,18,0.16132705
2016,1,6,21,0.0783331936666667
2016,1,7,24,9.42376666666667e-05
2016,1,7,3,0
2016,1,7,6,0
2016,1,7,9,0
2016,1,7,12,0.000729147666666667
2016,1,7,15,0.075430701
2016,1,7,18,0.152058335333333
2016,1,7,21,0.069359208
2016,1,8,24,9.72446666666667e-05
2016,1,8,3,0
2016,1,8,6,0
2016,1,8,9,0
2016,1,8,12,0.000643676666666667
2016,1,8,15,0.0672642176666667
2016,1,8,18,0.157676979333333
2016,1,8,21,0.0683105283333333
2016,1,9,24,0.000166788333333333
2016,1,9,3,0
2016,1,9,6,0
2016,1,9,9,0
2016,1,9,12,0.000703651
2016,1,9,15,0.058109328
2016,1,9,18,0.160074003
2016,1,9,21,0.0990660623333333
2016,1,10,24,0.000251693333333333
2016,1,10,3,0
2016,1,10,6,0
2016,1,10,9,0
2016,1,10,12,0.000535037333333333
2016,1,10,15,0.0665882276666667
2016,1,10,18,0.182512176
2016,1,10,21,0.0901799393333333
2016,1,11,24,6.1953e-05
2016,1,11,3,0
2016,1,11,6,0
2016,1,11,9,0
2016,1,11,12,3.8337e-05
2016,1,11,15,0.0525302836666667
2016,1,11,18,0.149341386
2016,1,11,21,0.0842912173333333
2016,1,12,24,0.00023666
2016,1,12,3,0
2016,1,12,6,0
2016,1,12,9,0
2016,1,12,12,0.000395333666666667
2016,1,12,15,0.089011202
2016,1,12,18,0.202498175
2016,1,12,21,0.111139003333333
2016,1,13,24,0.000347478666666667
2016,1,13,3,0
2016,1,13,6,0
2016,1,13,9,0
2016,1,13,12,0.000335761666666667
2016,1,13,15,0.0740605523333333
2016,1,13,18,0.187957022
2016,1,13,21,0.120122990666667
2016,1,14,24,0.000326285333333333
2016,1,14,3,0
2016,1,14,6,0
2016,1,14,9,0
2016,1,14,12,0.00113456666666667
2016,1,14,15,0.117934696666667
2016,1,14,18,0.230247429
2016,1,14,21,0.138267208
2016,1,15,24,0.000530035
2016,1,15,3,0
2016,1,15,6,0
2016,1,15,9,0
2016,1,15,12,0.000643060333333333
2016,1,15,15,0.0992771386666667
2016,1,15,18,0.212772676333333
2016,1,15,21,0.126749110666667
2016,1,16,24,0.000698011
2016,1,16,3,0
2016,1,16,6,0
2016,1,16,9,0
2016,1,16,12,0.00160305733333333
2016,1,16,15,0.088785577
2016,1,16,18,0.188722299
2016,1,16,21,0.0820434756666667
2016,1,17,24,0.000768705
2016,1,17,3,0
2016,1,17,6,0
2016,1,17,9,0
2016,1,17,12,0.001415362
2016,1,17,15,0.068637513
2016,1,17,18,0.187412798666667
2016,1,17,21,0.112483911666667
2016,1,18,24,0.000971783666666667
2016,1,18,3,0
2016,1,18,6,0
2016,1,18,9,0
2016,1,18,12,0.000879829333333333
2016,1,18,15,0.0914742706666667
2016,1,18,18,0.210858775666667
2016,1,18,21,0.121361139666667
2016,1,19,24,0.000381943
2016,1,19,3,0
2016,1,19,6,0
2016,1,19,9,0
2016,1,19,12,0.000335286333333333
2016,1,19,15,0.0946102356666667
2016,1,19,18,0.239241458333333
2016,1,19,21,0.163158143
2016,1,20,24,0.00107251433333333
2016,1,20,3,0
2016,1,20,6,0
2016,1,20,9,0
2016,1,20,12,0.000464618666666667
2016,1,20,15,0.0835943443333333
2016,1,20,18,0.196420630333333
2016,1,20,21,0.138210824666667
2016,1,21,24,0.00146854766666667
2016,1,21,3,0
2016,1,21,6,0
2016,1,21,9,0
2016,1,21,12,0.00111846933333333
2016,1,21,15,0.0926356193333333
2016,1,21,18,0.217847999333333
2016,1,21,21,0.143945248
2016,1,22,24,0.00167312833333333
2016,1,22,3,0
2016,1,22,6,0
2016,1,22,9,0
2016,1,22,12,0.00144651833333333
2016,1,22,15,0.119622617666667
2016,1,22,18,0.210628007333333
2016,1,22,21,0.0958843226666667
2016,1,23,24,0.000658627333333333
2016,1,23,3,0
2016,1,23,6,0
2016,1,23,9,0
2016,1,23,12,0.002973448
2016,1,23,15,0.0967222676666667
2016,1,23,18,0.160471464
2016,1,23,21,0.070986451
2016,1,24,24,0.00177329366666667
2016,1,24,3,0
2016,1,24,6,0
2016,1,24,9,0
2016,1,24,12,0.003363346
2016,1,24,15,0.101141569333333
2016,1,24,18,0.203568241333333
2016,1,24,21,0.122249563666667
2016,1,25,24,0.000891351333333333
2016,1,25,3,0
2016,1,25,6,0
2016,1,25,9,0
2016,1,25,12,0.003776224
2016,1,25,15,0.113829094333333
2016,1,25,18,0.222000909
2016,1,25,21,0.111645913666667
2016,1,26,24,0.00309692466666667
2016,1,26,3,0
2016,1,26,6,0
2016,1,26,9,0
2016,1,26,12,0.000483568666666667
2016,1,26,15,0.0707118846666667
