BEGIN_DATA,,,,
year,month,day,hour,wind_capacity
2016,1,1,24,0.562842828
2016,1,1,3,0.574661395333333
2016,1,1,6,0.557804283333333
2016,1,1,9,0.555975058
2016,1,1,12,0.600315390333333
2016,1,1,15,0.546334367333333
2016,1,1,18,0.470824094
2016,1,1,21,0.573933028
2016,1,2,24,0.646201346666667
2016,1,2,3,0.664808631666667
2016,1,2,6,0.673837071
2016,1,2,9,0.672633201333333
2016,1,2,12,0.626869154333333
2016,1,2,15,0.520019090666667
2016,1,2,18,0.402509227
2016,1,2,21,0.45030924
2016,1,3,24,0.518068732
2016,1,3,3,0.498423423666667
2016,1,3,6,0.435533587666667
2016,1,3,9,0.419893765
2016,1,3,12,0.425868885
2016,1,3,15,0.410629086666667
2016,1,3,18,0.310114913666667
2016,1,3,21,0.376662056
2016,1,4,24,0.529070767666667
2016,1,4,3,0.591023456666667
2016,1,4,6,0.549819175666667
2016,1,4,9,0.500716387
2016,1,4,12,0.575046578666667
2016,1,4,15,0.588117981333333
2016,1,4,18,0.472093882666667
2016,1,4,21,0.554102787666667
2016,1,5,24,0.692196782333333
2016,1,5,3,0.743771729666667
2016,1,5,6,0.700954474333333
2016,1,5,9,0.664920871
2016,1,5,12,0.672643422333333
2016,1,5,15,0.620397256
2016,1,5,18,0.494107563333333
2016,1,5,21,0.511585219333333
2016,1,6,24,0.55297376
2016,1,6,3,0.560325131333333
2016,1,6,6,0.540078729333333
2016,1,6,9,0.525645586
2016,1,6,12,0.539474659666667
2016,1,6,15,0.487289
2016,1,6,18,0.381832666666667
2016,1,6,21,0.428689771333333
2016,1,7,24,0.508417676666667
2016,1,7,3,0.509684757666667
2016,1,7,6,0.479528716666667
2016,1,7,9,0.440807795666667
2016,1,7,12,0.408339937
2016,1,7,15,0.340387691333333
2016,1,7,18,0.263187041
2016,1,7,21,0.323954802333333
2016,1,8,24,0.405217906
2016,1,8,3,0.394191278333333
2016,1,8,6,0.318331394
2016,1,8,9,0.271593880333333
2016,1,8,12,0.296499931333333
2016,1,8,15,0.282389455333333
2016,1,8,18,0.177977966333333
2016,1,8,21,0.25556209
2016,1,9,24,0.344832907333333
2016,1,9,3,0.370583656333333
2016,1,9,6,0.355098069
2016,1,9,9,0.347091508
2016,1,9,12,0.393069204666667
2016,1,9,15,0.412665870666667
2016,1,9,18,0.360825644
2016,1,9,21,0.410244619666667
2016,1,10,24,0.470030157
2016,1,10,3,0.478421759333333
2016,1,10,6,0.467330289666667
2016,1,10,9,0.468472807
2016,1,10,12,0.474130229666667
2016,1,10,15,0.426791064
2016,1,10,18,0.338832569
2016,1,10,21,0.492042699
2016,1,11,24,0.564651952
2016,1,11,3,0.596167285333333
2016,1,11,6,0.640772073666667
2016,1,11,9,0.668319236666667
2016,1,11,12,0.733202469666667
2016,1,11,15,0.790489971
2016,1,11,18,0.811082858
2016,1,11,21,0.836248436
2016,1,12,24,0.824368718
2016,1,12,3,0.758029311
2016,1,12,6,0.738544705666667
2016,1,12,9,0.742367518666667
2016,1,12,12,0.743249492333333
2016,1,12,15,0.733198507
2016,1,12,18,0.739566073
2016,1,12,21,0.733052264666667
2016,1,13,24,0.761449687
2016,1,13,3,0.749678636666667
2016,1,13,6,0.682908739666667
2016,1,13,9,0.617707244333333
2016,1,13,12,0.581174328
2016,1,13,15,0.508411720666667
2016,1,13,18,0.309707709666667
2016,1,13,21,0.367024269
2016,1,14,24,0.494339267333333
2016,1,14,3,0.458148507666667
2016,1,14,6,0.399898760333333
2016,1,14,9,0.421523907
2016,1,14,12,0.451398612333333
2016,1,14,15,0.452277140666667
2016,1,14,18,0.459937536333333
2016,1,14,21,0.546392485666667
2016,1,15,24,0.654291187666667
2016,1,15,3,0.677625660333333
2016,1,15,6,0.672787793666667
2016,1,15,9,0.660858281333333
2016,1,15,12,0.672159636
2016,1,15,15,0.601451132666667
2016,1,15,18,0.489655262666667
2016,1,15,21,0.475444428
2016,1,16,24,0.443474429333333
2016,1,16,3,0.375037760333333
2016,1,16,6,0.328926268666667
2016,1,16,9,0.319759734
2016,1,16,12,0.355609973666667
2016,1,16,15,0.325730872333333
2016,1,16,18,0.236396862
2016,1,16,21,0.274831591666667
2016,1,17,24,0.382366087333333
2016,1,17,3,0.384983697666667
2016,1,17,6,0.325290535666667
2016,1,17,9,0.294988459666667
2016,1,17,12,0.29197336
2016,1,17,15,0.244155256333333
2016,1,17,18,0.159372281666667
2016,1,17,21,0.202655390666667
2016,1,18,24,0.297206629666667
2016,1,18,3,0.304035326666667
2016,1,18,6,0.28047478
2016,1,18,9,0.264307253
2016,1,18,12,0.307318166333333
2016,1,18,15,0.320619324
2016,1,18,18,0.312761
2016,1,18,21,0.411288133666667
2016,1,19,24,0.513877722666667
2016,1,19,3,0.544035875
2016,1,19,6,0.563115887
2016,1,19,9,0.584678913333333
2016,1,19,12,0.623423307666667
2016,1,19,15,0.581888082333333
2016,1,19,18,0.541768078666667
2016,1,19,21,0.611383357333333
2016,1,20,24,0.655806792666667
