BEGIN_DATA,,,,
year,month,day,hour,solar_capacity
2016,1,1,24,0
2016,1,1,3,0
2016,1,1,6,0.252222311
2016,1,1,9,0.710609075
2016,1,1,12,0.708044340666667
2016,1,1,15,0.442411807333333
2016,1,1,18,0.00240805066666667
2016,1,1,21,0
2016,1,2,24,0
2016,1,2,3,0
2016,1,2,6,0.272928305666667
2016,1,2,9,0.726847164666667
2016,1,2,12,0.721536255666667
2016,1,2,15,0.447613087
2016,1,2,18,0.00229640633333333
2016,1,2,21,0
2016,1,3,24,0
2016,1,3,3,0
2016,1,3,6,0.291655608333333
2016,1,3,9,0.739618758666667
2016,1,3,12,0.727216556
2016,1,3,15,0.449610402666667
2016,1,3,18,0.00186525033333333
2016,1,3,21,0
2016,1,4,24,0
2016,1,4,3,0
2016,1,4,6,0.288676825333333
2016,1,4,9,0.741481740333333
2016,1,4,12,0.725749594666667
2016,1,4,15,0.471711408
2016,1,4,18,0.00225222533333333
2016,1,4,21,0
2016,1,5,24,0
2016,1,5,3,0
2016,1,5,6,0.282424089
2016,1,5,9,0.729933386
2016,1,5,12,0.720114544333333
2016,1,5,15,0.453197233
2016,1,5,18,0.00215066066666667
2016,1,5,21,0
2016,1,6,24,0
2016,1,6,3,0
2016,1,6,6,0.282181933333333
2016,1,6,9,0.713280414666667
2016,1,6,12,0.702748253
2016,1,6,15,0.440492794
2016,1,6,18,0.000419652333333333
2016,1,6,21,0
2016,1,7,24,0
2016,1,7,3,0
2016,1,7,6,0.258287506
2016,1,7,9,0.654353734666667
2016,1,7,12,0.665139864
2016,1,7,15,0.388982653
2016,1,7,18,0.002055645
2016,1,7,21,0
2016,1,8,24,0
2016,1,8,3,0
2016,1,8,6,0.251774660333333
2016,1,8,9,0.700245649666667
2016,1,8,12,0.686452701666667
2016,1,8,15,0.395734162
2016,1,8,18,0.00288291633333333
2016,1,8,21,0
2016,1,9,24,0
2016,1,9,3,0
2016,1,9,6,0.266410334666667
2016,1,9,9,0.704989062333333
2016,1,9,12,0.694484917333333
2016,1,9,15,0.406283394333333
2016,1,9,18,0.002605601
2016,1,9,21,0
2016,1,10,24,0
2016,1,10,3,0
2016,1,10,6,0.263039987666667
2016,1,10,9,0.711124571
2016,1,10,12,0.698294181
2016,1,10,15,0.428683174
2016,1,10,18,0.00375944666666667
2016,1,10,21,0
2016,1,11,24,0
2016,1,11,3,0
2016,1,11,6,0.270973334333333
2016,1,11,9,0.710095684666667
2016,1,11,12,0.691708033333333
2016,1,11,15,0.427831654333333
2016,1,11,18,0.003922778
2016,1,11,21,0
2016,1,12,24,0
2016,1,12,3,0
2016,1,12,6,0.269587211
2016,1,12,9,0.733001859666667
2016,1,12,12,0.719405124666667
2016,1,12,15,0.470367244666667
2016,1,12,18,0.00428620166666667
2016,1,12,21,0
2016,1,13,24,0
2016,1,13,3,0
2016,1,13,6,0.298051013
2016,1,13,9,0.737198146666667
2016,1,13,12,0.720593183666667
2016,1,13,15,0.461812748
2016,1,13,18,0.00380080333333333
2016,1,13,21,0
2016,1,14,24,0
2016,1,14,3,0
2016,1,14,6,0.308328008333333
2016,1,14,9,0.740681107
2016,1,14,12,0.726900825333333
2016,1,14,15,0.485187078666667
2016,1,14,18,0.00392971933333333
2016,1,14,21,0
2016,1,15,24,0
2016,1,15,3,0
2016,1,15,6,0.287526582666667
2016,1,15,9,0.731538435333333
2016,1,15,12,0.725060819333333
2016,1,15,15,0.467354272666667
2016,1,15,18,0.00368917333333333
2016,1,15,21,0
2016,1,16,24,0
2016,1,16,3,0
2016,1,16,6,0.293431538333333
2016,1,16,9,0.746017010333333
2016,1,16,12,0.735308412333333
2016,1,16,15,0.485460309666667
2016,1,16,18,0.005170947
2016,1,16,21,0
2016,1,17,24,0
2016,1,17,3,0
2016,1,17,6,0.285483165333333
2016,1,17,9,0.746589859666667
2016,1,17,12,0.733925166
2016,1,17,15,0.473258704666667
2016,1,17,18,0.00514946833333333
2016,1,17,21,0
2016,1,18,24,0
2016,1,18,3,0
2016,1,18,6,0.284356946666667
2016,1,18,9,0.751776009
2016,1,18,12,0.742966654666667
2016,1,18,15,0.452793293666667
2016,1,18,18,0.00251476466666667
2016,1,18,21,0
2016,1,19,24,0
2016,1,19,3,0
2016,1,19,6,0.296916063666667
2016,1,19,9,0.766430400666667
2016,1,19,12,0.755341073666667
2016,1,19,15,0.486430787
2016,1,19,18,0.00430948666666667
2016,1,19,21,0
2016,1,20,24,0
2016,1,20,3,0
2016,1,20,6,0.304001446333333
2016,1,20,9,0.750983243
2016,1,20,12,0.738402469666667
2016,1,20,15,0.45199785
2016,1,20,18,0.00150457966666667
2016,1,20,21,0
2016,1,21,24,0
2016,1,21,3,0
2016,1,21,6,0.271140181333333
2016,1,21,9,0.714680109333333
2016,1,21,12,0.698425523666667
2016,1,21,15,0.435649225666667
2016,1,21,18,0.00393811666666667
2016,1,21,21,0
2016,1,22,24,0
2016,1,22,3,0
2016,1,22,6,0.234706065333333
2016,1,22,9,0.688231387
2016,1,22,12,0.675430972
2016,1,22,15,0.423803808666667
2016,1,22,18,0.004878869
2016,1,22,21,0
2016,1,23,24,0
2016,1,23,3,0
2016,1,23,6,0.286097374666667
2016,1,23,9,0.746392212
2016,1,23,12,0.732148281666667
2016,1,23,15,0.458262288
2016,1,23,18,0.00436224133333333
2016,1,23,21,0
2016,1,24,24,0
2016,1,24,3,0
2016,1,24,6,0.297595423
2016,1,24,9,0.766420322666667
2016,1,24,12,0.757552300333333
2016,1,24,15,0.495510005666667
2016,1,24,18,0.00531068433333333
2016,1,24,21,0
2016,1,25,24,0
2016,1,25,3,0
2016,1,25,6,0.323679738
2016,1,25,9,0.779410983333333
2016,1,25,12,0.771341282666667
2016,1,25,15,0.514707970333333
2016,1,25,18,0.00681529266666667
2016,1,25,21,0
2016,1,26,24,0
2016,1,26,3,0
2016,1,26,6,0.316907216666667
2016,1,26,9,0.780265818
2016,1,26,12,0.770430632666667
2016,1,26,15,0.501643421333333
2016,1,26,18,0.00486367066666667
2016,1,26,21,0
2016,1,27,24,0
